Table_1,Column_1,Table_length_2,Column_2,Table_2,similarity_score
10579449_0_1681126353774891032.json,Media,21,Media,80588006_0_6965325215443683359.json,0.333333333333
10579449_0_1681126353774891032.json,Media,21,Media,9567241_0_5666388268510912770.json,0.333333333333
10630177_0_4831842476649004753.json,Geb?ude,12,Geb?udename,53583534_0_503521622577229691.json,0.666666666667
11278409_0_3742771475298785475.json,Company,29,Company,12271141_0_8517913935669973086.json,0.48275862069
11278409_0_3742771475298785475.json,Company,20,Company,14380604_4_3329235705746762392.json,0.8
11278409_0_3742771475298785475.json,Company,41,Company,15700884_0_8204220284166767221.json,0.341463414634
11278409_0_3742771475298785475.json,Company,10,Company,28423212_0_2742990779532526553.json,0.3
11278409_0_3742771475298785475.json,Company,23,Company,41336118_0_4331895026409635103.json,0.478260869565
11278409_0_3742771475298785475.json,Company,55,Company,52572391_0_8684896999787304275.json,0.272727272727
11278409_0_3742771475298785475.json,Company,100,Company,56224555_0_3713922722778385817.json,0.29
11278409_0_3742771475298785475.json,Company,30,Company/Organization,80184932_0_4240003884724905487.json,0.5
11278409_0_3742771475298785475.json,Company,131,Company,90723763_0_874013697986950454.json,2.06870229008
11278409_0_3742771475298785475.json,Company,30,Company,93702496_0_39013305210829591.json,0.566666666667
11278409_0_3742771475298785475.json,Company,30,Company??,96203994_0_2127964719640427252.json,0.266666666667
1146722_1_7558140036342906956.json,PEAK,214,Fell Name,88353875_0_4876234304797064286.json,0.68691588785
1146722_1_7558140036342906956.json,PEAK,214,Name,99070098_0_2074872741302696997.json,0.967289719626
11599512_1_280388135214354946.json,A,53,OAU State,14067031_0_559833072073397908.json,0.301886792453
11599512_1_280388135214354946.json,A,55,Name,68779923_2_1000046510804975562.json,0.327272727273
11599512_1_280388135214354946.json,Nom en anglais,193,Country Name:,11688006_0_8123036130090004213.json,0.766839378238
11599512_1_280388135214354946.json,Nom en anglais,157,Country,12183399_0_6725061928072492226.json,0.732484076433
11599512_1_280388135214354946.json,Nom en anglais,32,Unnamed: 0,12193237_0_8699643798888088574.json,0.78125
11599512_1_280388135214354946.json,Nom en anglais,53,OAU State,14067031_0_559833072073397908.json,0.735849056604
11599512_1_280388135214354946.json,Nom en anglais,83,Country,24036779_0_5608105867560183058.json,0.795180722892
11599512_1_280388135214354946.json,Nom en anglais,211,Country,24850757_0_5978004733768297283.json,0.644549763033
11599512_1_280388135214354946.json,Nom en anglais,92,Country,34899692_0_6530393048033763438.json,0.739130434783
11599512_1_280388135214354946.json,Nom en anglais,276,"State, Province, Territory, Country, etc",37856682_0_6818907050314633217.json,0.648068669528
11599512_1_280388135214354946.json,Nom en anglais,236,Country,3917335_0_7791699395300625164.json,0.639484978541
11599512_1_280388135214354946.json,Nom en anglais,230,Country / Territory,41194422_0_7231546114369966811.json,0.626086956522
11599512_1_280388135214354946.json,Nom en anglais,230,Country / Territory,41194422_1_1172256090552737974.json,0.626086956522
11599512_1_280388135214354946.json,Nom en anglais,91,COUNTRY,41648740_0_6959523681065295632.json,0.824175824176
11599512_1_280388135214354946.json,Nom en anglais,157,Country,49772588_0_6549847739640234347.json,0.757961783439
11599512_1_280388135214354946.json,Nom en anglais,92,1998 Data Country,52299421_0_4473286348258170200.json,0.760869565217
11599512_1_280388135214354946.json,Nom en anglais,17,Country Name (Click For Destination Guides),55004961_0_2904467548072189860.json,0.764705882353
11599512_1_280388135214354946.json,Nom en anglais,24,Country Name (Click For Destination Guides),55238374_0_3379409961751009152.json,0.625
11599512_1_280388135214354946.json,Nom en anglais,24,Country Name (Click For Destination Guides),57943722_0_8666078014685775876.json,0.416666666667
11599512_1_280388135214354946.json,Nom en anglais,25,Country Name (Click For Destination Guides),61121469_0_6337620713408906340.json,0.6
11599512_1_280388135214354946.json,Nom en anglais,225,Country,67865873_0_8259587610208037357.json,0.626666666667
11599512_1_280388135214354946.json,Nom en anglais,59,Name,68779923_0_3859283110041832023.json,0.779661016949
11599512_1_280388135214354946.json,Nom en anglais,45,Name,68779923_1_3240042497463101224.json,0.777777777778
11599512_1_280388135214354946.json,Nom en anglais,55,Name,68779923_2_1000046510804975562.json,0.763636363636
11599512_1_280388135214354946.json,Nom en anglais,39,Name,68779923_4_1832350971585698643.json,0.384615384615
11599512_1_280388135214354946.json,Nom en anglais,16,Name,68779923_5_2067037721454758189.json,0.75
11599512_1_280388135214354946.json,Nom en anglais,239,Country,69537082_0_7789694313271016902.json,0.643776824034
11599512_1_280388135214354946.json,Nom en anglais,200,Country,74491133_0_7177831100884797849.json,0.69
11599512_1_280388135214354946.json,Nom en anglais,237,Country,79327346_0_5787863739697336601.json,0.613733905579
11599512_1_280388135214354946.json,Nom en anglais,32,Country Name (Click For Destination Guides),8286121_0_8471791395229161598.json,0.4375
11599512_1_280388135214354946.json,Nom en anglais,67,Country,86297395_0_6919201319699354263.json,0.761194029851
11599512_1_280388135214354946.json,Nom en anglais,232,Country,89511064_0_2199624509082573904.json,0.650862068966
11599512_1_280388135214354946.json,Nom en anglais,183,Name,9206866_1_8114610355671172497.json,0.699453551913
11688006_0_8123036130090004213.json,Country Name:,233,Nom en anglais,11599512_1_280388135214354946.json,0.766839378238
11688006_0_8123036130090004213.json,Country Name:,157,Country,12183399_0_6725061928072492226.json,0.777070063694
11688006_0_8123036130090004213.json,Country Name:,32,Unnamed: 0,12193237_0_8699643798888088574.json,0.8125
11688006_0_8123036130090004213.json,Country Name:,53,OAU State,14067031_0_559833072073397908.json,0.905660377358
11688006_0_8123036130090004213.json,Country Name:,83,Country,24036779_0_5608105867560183058.json,0.927710843373
11688006_0_8123036130090004213.json,Country Name:,211,Country,24850757_0_5978004733768297283.json,0.875647668394
11688006_0_8123036130090004213.json,Country Name:,92,Country,34899692_0_6530393048033763438.json,0.815217391304
