"table1","column1","columnNumber1","table2","column2","columnNumber2","similarityScore"
"10579449_0_1681126353774891032.csv","#","0","80588006_0_6965325215443683359.csv","#","0","0.95"
"10579449_0_1681126353774891032.csv","MIX","1","80588006_0_6965325215443683359.csv","MIX","1","0.07378159069574798"
"10579449_0_1681126353774891032.csv","Media","2","80588006_0_6965325215443683359.csv","Media","2","0.5023809523809524"
"10579449_0_1681126353774891032.csv","#","0","80588006_0_6965325215443683359.csv","MIX","1","0.7745328831984505"
"10579449_0_1681126353774891032.csv","#","0","9567241_0_5666388268510912770.csv","#","0","0.95"
"10579449_0_1681126353774891032.csv","MIX","1","9567241_0_5666388268510912770.csv","MIX","1","0.6409801202359343"
"10579449_0_1681126353774891032.csv","Media","2","9567241_0_5666388268510912770.csv","Media","2","0.4571428571428571"
"10630177_0_4831842476649004753.csv","Geb?ude","2","53583534_0_503521622577229691.csv","Geb?udename","2","0.6333333333333333"
"10630177_0_4831842476649004753.csv","#","0","53583534_0_503521622577229691.csv","Etagen","1","0.2587064212108549"
"10630177_0_4831842476649004753.csv","Stadt","5","53583534_0_503521622577229691.csv","Stadt","4","0.525"
"10630177_0_4831842476649004753.csv","Etagen","1","53583534_0_503521622577229691.csv","Etagen","1","0.05571867494502033"
"10630177_0_4831842476649004753.csv","H?he","3","53583534_0_503521622577229691.csv","H?he","3","0.05"
"10630177_0_4831842476649004753.csv","Jahr","4","53583534_0_503521622577229691.csv","Dauer","0","0.07916666666666666"
"11278409_0_3742771475298785475.csv","Company","0","12271141_0_8517913935669973086.csv","Company","0","0.2793103448275862"
"11278409_0_3742771475298785475.csv","Company TER vs Industry TER","1","12271141_0_8517913935669973086.csv","Date Added","1","0.2293103448275862"
"11278409_0_3742771475298785475.csv","Industry","2","12271141_0_8517913935669973086.csv","Industry","2","0.05"
"11278409_0_3742771475298785475.csv","Company","0","12271141_0_8517913935669973086.csv","Symbol","3","0.03275862068965517"
"11278409_0_3742771475298785475.csv","Company","0","14380604_4_3329235705746762392.csv","Company","1","0.2875"
"11278409_0_3742771475298785475.csv","Industry","2","14380604_4_3329235705746762392.csv","Industry","3","0.05"
"11278409_0_3742771475298785475.csv","Rank","3","14380604_4_3329235705746762392.csv","Rank","6","0.05000000024347896"
"11278409_0_3742771475298785475.csv","Company","0","15700884_0_8204220284166767221.csv","Company","0","0.1426829268292683"
"11278409_0_3742771475298785475.csv","Industry","2","15700884_0_8204220284166767221.csv","Industry","2","0.05"
"11278409_0_3742771475298785475.csv","Company","0","28423212_0_2742990779532526553.csv","Company","0","0.33499999999999996"
"11278409_0_3742771475298785475.csv","Industry","2","28423212_0_2742990779532526553.csv","Industry","1","0.05"
"11278409_0_3742771475298785475.csv","Company","0","41336118_0_4331895026409635103.csv","Company","1","0.17391304347826086"
"11278409_0_3742771475298785475.csv","Industry","2","41336118_0_4331895026409635103.csv","Industry","3","0.05"
"11278409_0_3742771475298785475.csv","Company","0","52572391_0_8684896999787304275.csv","Company","0","0.13636363636363635"
"11278409_0_3742771475298785475.csv","Industry","2","52572391_0_8684896999787304275.csv","Industry","1","0.05"
"11278409_0_3742771475298785475.csv","Company","0","56224555_0_3713922722778385817.csv","Company","1","0.12676767676767678"
"11278409_0_3742771475298785475.csv","Industry","2","56224555_0_3713922722778385817.csv","Industry","3","0.05"
"11278409_0_3742771475298785475.csv","Rank","3","56224555_0_3713922722778385817.csv","Market Value ($bil)","4","0.6285391859262945"
"11278409_0_3742771475298785475.csv","Rank","3","56224555_0_3713922722778385817.csv","Rank","6","0.0500000000002765"
"11278409_0_3742771475298785475.csv","Rank","3","56224555_0_3713922722778385817.csv","Sales ($bil)","7","0.0527468420847297"
"11278409_0_3742771475298785475.csv","Company","0","80184932_0_4240003884724905487.csv","Company/Organization","0","0.18333333333333332"
"11278409_0_3742771475298785475.csv","Industry","2","80184932_0_4240003884724905487.csv","Industry","1","0.05"
