Author,Source,Title
Mark Twain,ALA [11],Adventures of Huckleberry Finn
Dav Pilkey,ALA [47],The Adventures of Super Diaper Baby
Mark Twain,ALA,The Adventures of Tom Sawyer
Phyllis Reynolds Naylor,ALA [2],Alice series
Robert Penn Warren,Rad,All the King's Men
Luis J. Rodriguez,ALA [66],Always Running
Bret Easton Ellis,ALA,American Psycho
Theodore Dreiser,Rad,An American Tragedy
William Powell,ALA,The Anarchist Cookbook
Lois Lowry,ALA [81],Anastasia Again!
Justin Richardson and Peter Parnell,ALA [9],And Tango Makes Three
Louise Rennison,ALA [32],"Angus, Thongs and Full-Frontal Snogging"
Nancy Garden,ALA,Annie on My Mind
Judy Blume,ALA [82],"Are You There God? It's Me, Margaret"
Michael Bellasiles,ALA [34],Arming America
Ron Koertge,ALA,Arizona Kid
William Faulkner,Rad,As I Lay Dying
Joanna Cole,ALA,Asking About Sex and Growing Up
Chris Crutcher,ALA [38],Athletic Shorts
Toni Morrison,ALA [24] /Rad,Beloved
Richard Wright,ALA [67],Black Boy
Rudolfo A. Anaya,ALA [39],"Bless Me, Ultima"
Annette Curtis Klause,ALA [54],Blood and Chocolate
Judy Blume,ALA [36],Blubber
Toni Morrison,ALA [12],The Bluest Eye
Louis Sachar,ALA [79],The Boy Who Lost His Face
Wardell Pomeroy,ALA,Boys and Sex
Aldous Huxley,ALA [37] /Rad,Brave New World
Katherine Paterson,ALA [20],Bridge to Terabithia
Harry Allard,ALA [83],Bumps in the Night
Jack London,Rad,The Call of the Wild
Dav Pilkey,ALA [10],Captain Underpants
Stephen King,ALA,Carrie
J. D. Salinger,ALA [19] /Rad,The Catcher in the Rye
Joseph Heller,Rad,Catch-22
Kurt Vonnegut,Rad,Cat's Cradle
Robert Cormier,ALA [3],The Chocolate War
Stephen King,ALA,Christine
Anthony Burgess,Rad,A Clockwork Orange
Alice Walker,ALA [14] /Rad,The Color Purple
Jane Conly,ALA [42],Crazy Lady!
Alvin Schwartz,ALA,"Cross Your Fingers, Spit in Your Hat"
Stephen King,ALA,Cujo
Daniel Cohen,ALA,"Curses, Hexes and Spells"
Patricia McCormick,ALA [86],Cut
Michael Willhoite,ALA,Daddy's Roommate
Robert Newton Peck,ALA,A Day No Pigs Would Die
Stephen King,ALA,The Dead Zone
Judy Blume,ALA,Deenie
Marilyn Reynolds,ALA,Detour for Emmy
Bette Greene,ALA,The Drowning of Stephan Jones
Jean M. Auel,ALA,Earth's Children (series)
William Peter Blatty,ALA,The Exorcist
Caroline B. Cooney,ALA,The Face on the Milk Carton
Robert Cormier,ALA,Fade
Walter Dean Myers,ALA,Fallen Angels
Norma Klein,ALA,Family Secrets
Ernest Hemingway,Rad,A Farewell to Arms
Derek Humphry,ALA,Final Exit
Daniel Keyes,ALA,Flowers for Algernon
Ernest Hemingway,Rad,For Whom the Bell Tolls
Judy Blume,ALA,Forever
Wardell Pomeroy,ALA,Girls and Sex
Lois Lowry,ALA [014],The Giver
Anonymous,ALA,Go Ask Alice
James Baldwin,Rad,Go Tell It on the Mountain
Brock Cole,ALA,The Goats
Margaret Mitchell,Rad,Gone with the Wind
R. L. Stine,ALA,Goosebumps (series)
John Steinbeck,Rad,The Grapes of Wrath
F. Scott Fitzgerald,Rad,The Great Gatsby
Katherine Paterson,ALA,The Great Gilly Hopkins
Mem Fox,ALA,Guess What?
Eve Merriam,ALA,Halloween ABC
Margaret Atwood,ALA,The Handmaid's Tale
J. K. Rowling,ALA,Harry Potter (series)
Joseph Conrad,Rad,Heart of Darkness
Lesl?a Newman,ALA,Heather Has Two Mommies
Isabel Allende,ALA,The House of the Spirits
Thomas Rockwell,ALA,How to Eat Fried Worms
Maya Angelou,ALA,I Know Why the Caged Bird Sings
Truman Capote,Rad,In Cold Blood
Maurice Sendak,ALA,In the Night Kitchen
Ralph Ellison,Rad,Invisible Man
Robie Harris,ALA,It's Perfectly Normal
Robie Harris,ALA,It's So Amazing
A. M. Homes,ALA,Jack
Roald Dahl,ALA,James and the Giant Peach
Anonymous,ALA,Jay's Journal
Jean Craighead George,ALA,Julie of the Wolves
James Lincoln Collier and Christopher Collier,ALA,Jump Ship to Freedom
Steven Gould,ALA,Jumper
Upton Sinclair,Rad,The Jungle
Mark Mathabane,ALA,Kaffir Boy
Lois Duncan,ALA,Killing Mr. Griffin
D. H. Lawrence,Rad,Lady Chatterley's Lover
Shel Silverstein,ALA,A Light in the Attic
Helen Bannerman,ALA,Little Black Sambo
Vladimir Nabokov,Rad,Lolita
William Golding,ALA/ Rad,Lord of the Flies
Babette Cole,ALA,Mommy Laid An Egg
James Lincoln Collier and Christopher Collier,ALA,My Brother Sam Is Dead
Norman Mailer,Rad,The Naked and the Dead
William S. Burroughs,Rad,Naked Lunch
Richard Wright,ALA /Rad,Native Son
Charles Silverstein and Felice Picano,ALA,The New Joy of Gay Sex
George Orwell,Rad,Nineteen Eighty-four (1984)
John Steinbeck,ALA /Rad,Of Mice and Men
Marion Dane Bauer,ALA,On My Honor
Ken Kesey,Rad,One Flew Over the Cuckoo's Nest
Judith Guest,ALA,Ordinary People
S. E. Hinton,ALA,The Outsiders
Stephen Chbosky,ALA,The Perks of Being a Wallflower
Ken Follett,ALA,The Pillars of the Earth
Paul Zindel,ALA,The Pigman
Howard Stern,ALA,Private Parts
John Updike,Rad,"Rabbit, Run"
Garth Williams,ALA,The Rabbit's Wedding
Alex Sanchez,ALA,Rainbow Boys
Chris Crutcher,ALA,Running Loose
Salman Rushdie,Rad,The Satanic Verses
Alvin Schwartz,ALA,Scary Stories (series)
John Knowles,Rad,A Separate Peace
Madonna,ALA,Sex
Jenny Davis,ALA,Sex Education
Kurt Vonnegut,ALA [069] /Rad,Slaughterhouse-Five
Chris Crutcher,ALA,The Sledding Hill
A. N. Roquelaure (Anne Rice),ALA,Sleeping Beauty Trilogy
Toni Morrison,ALA /Rad,Song of Solomon (novel)
D. H. Lawrence,Rad,Sons and Lovers
Harry Allard,ALA,The Stupids (series)
Bette Greene,ALA,Summer of My German Soldier
Ernest Hemingway,Rad,The Sun Also Rises
S. E. Hinton,ALA,"That Was Then, This Is Now"
Zora Neale Hurston,Rad,Their Eyes Were Watching God
Judy Blume,ALA,Tiger Eyes
Harper Lee,ALA [041] /Rad,To Kill a Mockingbird
Henry Miller,Rad,Tropic of Cancer
James Joyce,Rad,Ulysses
Willo Davis Roberts,ALA,View from the Cherry Tree
Robert Cormier,ALA,We All Fall Down
Chris Crutcher,ALA,Whale Talk
Sonya Sones,ALA,What My Mother Doesn't Know
Lynda Madaras,ALA,What's Happening to My Body? Book for Boys: A Growing-Up Guide for Parents & Sons
Lynda Madaras,ALA,What's Happening to My Body? Book for Girls: A Growing-Up Guide for Parents & Daughters
Peter Mayle,ALA,Where Did I Come From?
Bill Brittain,ALA,The Wish Giver
Roald Dahl,ALA,The Witches
D. H. Lawrence,Rad,Women in Love
Nancy Friday,ALA,Women on Top: How Real Life Has Changed Women?s Sexual Fantasies
Madeleine L'Engle,ALA,A Wrinkle in Time
