Company,Company TER vs Industry TER,Industry,Rank,Temkin Experience Rating (TER)
Sam's Club,13.0,Retailer,1,85%
Publix,4.9,Grocery Chain,2,81%
A credit union,14.5,Bank,3,80%
Chick-fil-A,6.2,Fast Food Chain,3,80%
Subway,6.4,Fast Food Chain,3,80%
Starbucks,6.5,Fast Food Chain,3,80%
H.E.B.,3.6,Grocery Chain,3,80%
Winn-Dixie,3.6,Grocery Chain,3,80%
Aldi,3.7,Grocery Chain,3,80%
Sonic Drive-in,3.6,Fast Food Chain,10,78%
Kroger,1.7,Grocery Chain,10,78%
ShopRite,1.9,Grocery Chain,10,78%
Amazon.com,5.9,Retailer,10,78%
PNC,11.6,Bank,14,77%
Pizza Hut,2.5,Fast Food Chain,14,77%
Target,4.9,Retailer,14,77%
Walgreens,5.0,Retailer,14,77%
Arby's,1.5,Fast Food Chain,18,76%
Whole Foods,-0.4,Grocery Chain,18,76%
Hy-Vee,-0.1,Grocery Chain,18,76%
BJ's Wholesale Club,3.5,Retailer,18,76%
Lowe's,3.9,Retailer,18,76%
Dunkin Donuts,0.8,Fast Food Chain,23,75%
Taco Bell,0.8,Fast Food Chain,23,75%
Wendy's,1.2,Fast Food Chain,23,75%
Food Lion,-1.7,Grocery Chain,23,75%
Little Caesar's,-0.3,Fast Food Chain,27,74%
Giant Eagle,-2.7,Grocery Chain,27,74%
Safeway,-2.1,Grocery Chain,27,74%
Stop & Shop,-2.0,Grocery Chain,27,72%
FedEx,1.4,Parcel Delivery Service,27,74%
JCPenney,1.7,Retailer,27,74%
Home Depot,1.7,Retailer,27,74%
CVS,1.9,Retailer,27,74%
Southwest Airlines,11.9,Airline,35,73%
TD Bank,7.8,Bank,35,73%
USAA,8.3,Bank,35,73%
USAA,12.7,Credit Card Issuer,35,73%
Dairy Queen,-1.1,Fast Food Chain,35,73%
Albertsons,-3.8,Grocery Chain,35,73%
Save-a-lot,-3.3,Grocery Chain,35,73%
USAA,7.7,Insurance Carrier,35,73%
UPS,0.9,Parcel Delivery Service,35,73%
Rite Aid,0.8,Retailer,35,73%
ING Direct,6.8,Bank,45,72%
Alamo,11.4,Car Rental Agency,45,72%
Hampton Inn,5.8,Hotel Chain,45,72%
Marriott,6.4,Hotel Chain,45,72%
State Farm,6.4,Insurance Carrier,45,72%
Costco,-0.5,Retailer,45,72%
Staples,0.0,Retailer,45,72%
KFC,-3.2,Fast Food Chain,52,71%
McDonalds,-2.9,Fast Food Chain,52,71%
US Postal Service,-0.8,Parcel Delivery Services,52,71%
Toys 'R' Us,-1.2,Retailer,52,71%
Old Navy,-1.0,Retailer,52,71%
Chevrolet,7.7,Auto Dealer,57,70%
Burger King,-4.2,Fast Food Chain,57,70%
Charles Schwab,6.7,Investment Firm,57,70%
Wal-Mart,-2.3,Retailer,57,70%
Kohl's,-2.0,Retailer,57,70%
Jack in the Box,-5.1,Fast Food Chain,62,69%
Holiday Inn Express,2.7,Hotel Chain,62,69%
Courtyard by Marriott,3.4,Hotel Chain,62,69%
The Hartford,3.2,Insurance Carrier,62,69%
Macy's,-3.0,Retailer,62,69%
AirTran Airways,7.3,Airline,67,68%
Fifth Third,3.1,Bank,67,68%
American Express,7.6,Credit Card Issuer,67,68%
Domino's,-6.1,Fast Food Chain,67,68%
Piggly Wiggly,-8.3,Grocery Chain,67,68%
Kaiser Permanente,15.5,Health Plan,67,68%
Comfort Inn,1.6,Hotel Chain,67,68%
Fidelity Investments,4.8,Investment Firm,67,68%
Whirlpool,4.1,Appliance Maker,75,67%
Bosch,4.9,Appliance Maker,75,67%
BMW,4.5,Auto Dealer,75,67%
Toyota,4.8,Auto Dealer,75,67%
US Bank,6.8,Credit Card Issuer,75,67%
Best Western,0.6,Hotel Chain,75,67%
Progressive,1.4,Insurance Company,75,67%
Sears,-5.5,Retailer,75,67%
Best Buy,-5.4,Retailer,75,67%
Kmart,-5.0,Retailer,75,67%
SunTrust Bank,1.1,Bank,85,66%
Holiday Inn,0.0,Hotel Chain,85,66%
Barnes & Noble,-6.5,Retailer,85,66%
TracFone,12.1,Wireless Carrier,85,66%
JetBlue Airlines,3.8,Airline,89,65%
Chase,-0.5,Bank,89,65%
Apple,6.2,Computer Maker,89,65%
Chase,4.6,Credit Card Issuer,89,65%
Discover,4.6,Credit Card Issuer,89,65%
Hilton,-0.6,Hotel Chain,89,65%
Farmers,-0.6,Insurance Carrier,89,65%
Nationwide,-0.1,Insurance Carrier,89,65%
Ameriprise Financial,1.8,Investment Firm,89,65%
Edward Jones,2.1,Investment Firm,89,65%
Vanguard,2.4,Investment Firm,89,65%
A credit union,2.4,Investment Firm,89,65%
eBay,-7.2,Retailer,89,65%
Alaska Airlines,2.8,Airline,102,64%
LG,1.0,Appliance Maker,102,64%
GE,1.1,Appliance Maker,102,64%
Budget,3.3,Car Rental Agency,102,64%
Hardees,-9.9,Fast Food Chain,102,64%
Hyatt,-1.8,Hotel Chain,102,64%
GEICO,-2.0,Insurance Carrier,102,64%
Allstate,-1.8,Insurance Carrier,102,64%
Office Depot,-7.8,Retailer,102,64%
Samsung,0.4,Appliance Maker,111,63%
US Bancorp,-2.5,Bank,111,63%
Wells Fargo,-2.5,Bank,111,63%
Hertz,2.8,Car Rental Agency,111,63%
