ALT (ft),ALT (m),GRID REF,GUIDE,MAP,PEAK,RANKING
"2,572",784,NY 236 085,E,SW,Allen Crags,43
"1,857",566,NY 414 148,FE,NE,Angletarn Pikes,143
"1,860",567,NY 207 197,NW,NW,Ard Crags,142
"1,570",479,NY 297 159,C,NW,Armboth Fell,182
"1,424",434,NY 394 150,E,NE,Arnison Crag,194
"1,747",532,NY 461 206,FE,NE,Arthur's Pike,157
"2,189",667,NY 266 308,N,NW,Bakestall,103
"2,230",680,NY 336 290,N,NW,Bannerdale Crags,103
"1,536",468,NY 214 6267,NW,NW,Barf,184
"1,494",455,NY 227 218,NW,NW,Barrow,188
"2,120",646,NY 225 115,W,NW,Base Brown,115
"1,664",507,NY 428 171,FE,NE,Beda Fell,169
"1,466",447,NY 225 356,N,NW,Binsey,191
"2,350",716,NY 364 159,E,NE,Birkhouse Moor,77
"2,040",622,NY 382 145,E,NE,Birks,123
"1,056",322,NY 340 016,S,SW,Black Fell (Black Crag),212
"1,878",572,NY 110 197,W,NW,Blake Fell,138
"1,776",541,NY 300 079,C,SW,Blea Rigg,151
"1,932",589,NY 285 196,C,NW,Bleaberry Fell,131
"2,847",868,NY 323 277,N,NE,Blencathra,14
"1,718",524,NY 453 201,FE,NE,Bonscale Pike,160
"2,960",902,NY 244 064,S,SW,Bow Fell,6
"2,306",703,NY 334 305,N,NW,Bowscale Fell,86
"1,920",585,NY 289 351,N,NW,Brae Fell,133
"2,344",714,NY 215 120,W,NW,Brandreth,78
"2,333",711,NY 478 099,FE,SE,Branstree,81
"2,611",796,SD 271 986,S,SW,Brim Fell,36
"1,842",561,NY 417 137,FE,NE,Brock Crags,144
"1,670",509,NY 195 271,NW,NW,Broom Fell,167
"1,410",430,NY 135 060,W,SW,Buckbarrow,196
"1,580",482,NY 110 210,W,NW,Burnbank Fell,179
"1,762",537,NY 301 104,C,NW,Calf Crag,154
"2,420",738,NY 254 281,N,NW,Carl Side,64
"2,174",663,NY 342 337,N,NW,Carrock Fell,105
985,300,NY 249 159,NW,NW,Castle Crag,214
"1,481",451,NY 244 198,NW,NW,Cat Bells,189
"2,917",889,NY 348 158,E,NE,Catstycam,10
"2,502",763,NY 418 100,FE,NE,Caudale Moor,55
"2,035",620,NY 219 209,NW,NW,Causey Pike,124
"2,288",697,NY 132 110,W,NW,Caw Fell,88
"2,381",726,NY 334 225,E,NE,Clough Head,74
"2,259",689,NY 263 035,S,SW,Cold Pike,96
"2,633",803,SD 272 978,S,SW,Coniston Old Man,32
"1,710",521,NY 097 144,W,NW,Crag Fell,161
"2,749",838,NY 193 203,NW,NW,Crag Hill (Eel Crag),24
"2,816",858,NY 249 049,S,SW,Crinkle Crags,17
"2,473",754,NY 223 154,NW,NW,Dale Head,63
"1,612",491,NY 244 273,N,NW,Dodd,175
"2,810",856,NY 345 131,E,NE,Dollywagon Pike,16
"2,603",793,NY 374 104,E,NE,Dove Crag,37
"2,555",779,SD 262 977,S,SW,Dow Crag,47
"1,650",503,NY 275 121,C,NW,Eagle Crag,174
"2,749",838,NY 193 203,NW,NW,Eel Crag (Crag Hill),24
"2,903",885,NY 230 075,S,SW,Esk Pike,11
"2,863",873,NY 359 117,E,NE,Fairfield,13
"1,363",415,NY132 243,W,NW,Fellbarrow,199
"2,126",648,NY 205 142,W,NW,Fleetwith Pike,114
"2,339",713,NY 435 085,FE,SE,Froswick,80
"1,720",524,NY 116 184,W,NW,Gavel Fell,159
"1,379",420,NY 318 099,C,SE,Gibson Knott,197
"2,560",780,NY 247 105,S,NW,Glaramara,45
"1,425",434,NY 381 176,E,NE,Glenridding Dodd,193
"1,579",481,NY 407 218,E,NE,Gowbarrow Fell,180
"1,363",415,NY 264 163,C,NW,Grange Fell,198
"2,791",851,NY 175 204,NW,NW,Grasmoor,20
"2,286",697,NY 427 119,FE,NE,Gray Crag,91
"1,476",450,NY177 264,NW,NW,Graystones,190
"2,019",615,NY 124 164,W,NW,Great Borne,125
"2,265",690,NY 291 312,N,NW,Great Calva,95
"2,575",785,NY 270 009,S,SW,Great Carrs,42
"1,720",524,NY 273 333,N,NW,Great Cockup,158
"1,500",457,NY 270 147,C,NW,Great Crag,187
"2,807",856,NY 342 206,E,NE,Great Dodd,19
"2,984",910,NY 227 083,S,SW,Great End,5
"2,949",899,NY 211 103,W,NW,Great Gable,7
"1,760",536,NY 397 254,E,NE,Great Mell Fell,155
"2,513",766,NY 356 105,E,NE,Great Rigg,54
"2,131",650,NY 291 339,N,NW,Great Sca Fell,113
"1,602",488,SD 200 983,S,SW,Green Crag,176
"2,603",793,NY214 107,W,NW,Green Gable,38
"2,093",638,NY 497 072,FE,SE,Grey Crag,118
"2,536",773,NY 260 004,S,SW,Grey Friar,50
"2,287",697,NY 217 126,W,NW,Grey Knotts,90
"1,596",486,NY 085 141,W,NW,Grike,177
"2,593",790,NY 198 226,NW,NW,Grisedale Pike,30
"1,271",387,NY 433 198,FE,NE,Hallin Fell,203
"1,803",550,NY 232 024,S,SW,Hard Knott,148
"2,403",732,NY 282 074,C,SW,Harrison Stickle,71
"2,698",822,NY 369 112,E,NE,Hart Crag,27
"2,481",756,NY 358 197,E,NE,Hart Side,60
"2,140",652,SD 218 997,S,SW,Harter Fell (Eskdale),112
"2,539",774,NY 460 093,FE,SE,Harter Fell (Martindale),59
"1,870",570,NY 383 120,E,NE,Hartsop Above How,140
"2,018",615,NY 412 118,FE,NE,Hartsop Dodd,126
"2,618",798,NY 145 107,W,NW,Haycock,35
"1,900",579,NY 193 132,W,NW,Haystacks,135
"1,299",396,NY 326 093,C,SE,Helm Crag,201
"3,118",950,NY 342 152,E,NE,Helvellyn,3
"1,661",506,NY 132 181,W,NW,Hen Comb,170
"2,003",611,NY 356 083,E,SE,Heron Pike,127
"2,443",745,NY 180 141,W,NW,High Crag,64
"1,702",519,NY 394 108,E,NE,High Hartsop Dodd,162
