,Area (Sq. Km.),Area (Sq. Mi.),Country Name:,Population,Population Density (Sq. Km.),Population Density (Sq. Mi.)
36,"9,596,960.00","3,705,405.45",China,"1,339,190,000",139.54,361.42
77,"3,287,590.00","1,269,345.07",India,"1,184,639,000",360.34,933.27
183,"9,629,091.00","3,717,811.29",United States of America,"309,975,000",32.19,83.38
78,"1,919,440.00","741,099.62",Indonesia,"234,181,400",122.01,315.99
24,"8,511,965.00","3,286,486.71",Brazil,"193,364,000",22.72,58.84
131,"803,940.00","310,402.84",Pakistan,"170,260,000",211.78,548.51
14,"144,000.00","55,598.69",Bangladesh,"164,425,000","1,141.84","2,957.35"
128,"923,768.00","356,668.67",Nigeria,"158,259,000",171.32,443.71
142,"17,075,200.00","6,592,768.87",Russia,"141,927,297",8.31,21.53
85,"377,835.00","145,882.85",Japan,"127,380,000",337.13,873.17
113,"1,972,550.00","761,605.50",Mexico,"108,396,211",54.95,142.33
137,"300,000.00","115,830.60",Phillipines,"94,013,200",313.38,811.64
189,"329,560.00","127,243.78",Vietnam,"85,789,573",260.32,674.21
65,"357,021.00","137,846.52",Germany,"81,757,600",229.00,593.11
58,"1,127,127.00","435,185.99",Ethopia,"79,221,000",70.29,182.04
53,"1,001,450.00","386,661.85",Egypt,"78,848,000",78.73,203.92
79,"1,648,000.00","636,296.10",Iran,"75,078,000",45.56,117.99
176,"780,580.00","301,383.50",Turkey,"72,561,312",92.96,240.76
39,"2,345,410.00","905,567.49",Congo (Dem. Rep. of ),"67,827,000",28.92,74.90
61,"547,030.00","211,209.38",France,"65,447,374",119.64,309.87
171,"514,000.00","198,456.43",Thailand,"63,525,062",123.59,320.10
182,"244,820.00","94,525.49",United Kingdom (UK),"62,041,708",253.42,656.35
83,"301,230.00","116,305.51",Italy,"60,340,328",200.31,518.81
120,"678,500.00","261,970.21",Myanmar,"50,496,000",74.42,192.75
159,"1,219,912.00","471,010.46",South Africa,"49,991,300",40.98,106.14
91,"98,480.00","38,023.32",Korea (South),"49,773,145",505.41,"1,309.02"
160,"504,782.00","194,897.34",Spain,"46,951,532",93.01,240.90
180,"603,700.00","233,089.78",Ukraine,"45,871,738",75.98,196.80
37,"1,138,910.00","439,735.43",Colombia,"45,569,000",40.01,103.63
170,"945,087.00","364,899.98",Tanzania,"45,040,000",47.66,123.43
88,"582,650.00","224,962.33",Kenya,"40,863,000",70.13,181.64
7,"2,766,890.00","1,068,301.76",Argentina,"40,518,951",14.64,37.93
163,"1,886,068.00","728,215.12",Sudan,"31,894,000",16.40,42.40
138,"312,685.00","120,728.30",Poland,"38,167,329",122.06,316.14
3,"2,381,740.00","919,594.58",Algeria,"35,423,000",14.87,38.52
31,"9,976,140.00","3,851,807.61",Canada,"34,207,000",3.43,8.88
179,"236,040.00","91,135.52",Uganda,"33,796,000",143.18,370.83
118,"446,550.00","172,413.85",Morocco,"31,892,000",71.42,184.97
80,"437,072.00","168,754.37",Iraq,"31,467,000",72.00,186.47
123,"140,800.00","54,363.16",Nepal,"29,853,000",212.02,549.14
136,"1,285,220.00","496,226.01",Peru,"29,461,933",22.92,59.37
1,"647,500.00","250,001.05",Afghanistan,"29,117,000",44.97,116.47
188,"912,050.00","352,144.33",Venezuela,"28,888,000",31.67,82.03
106,"329,750.00","127,317.13",Malaysia,"28,306,700",85.84,222.33
185,"447,400","172,742.03",Uzbekistan,"27,794,000",62.12,160.90
149,"1,960,582.00","756,984.63",Saudi Arabia,"26,246,000",13.39,34.67
66,"239,460.00","92,455.98",Ghana,"24,333,000",101.62,263.18
190,"527,970.00","203,850.27",Yemen,"24,256,000",45.94,118.99
90,"120,540.00","46,540.74",Korea (North),"23,991,000",199.03,515.48
119,"801,590.00","309,495.50",Mozambique,"23,406,000",29.20,75.63
168,"185,180.00","71,498.37",Syria,"22,505,000",121.53,314.76
9,"7,686,850.00","2,967,908.16",Australia,"22,421,417",2.92,7.55
42,"322,460.00","124,502.45",Cote d'Ivoire,"21,571,000",66.90,173.26
141,"237,500.00","91,699.23",Romania,"21,466,174",90.38,234.09
104,"587,040.00","226,657.32",Madagascar,"21,146,000",36.02,93.30
161,"65,610.00","25,332.15",Sri Lanka,"20,410,000",311.08,805.70
30,"475,440.00","183,568.33",Cameroon,"19,958,000",41.98,108.72
5,"1,246,700.00","481,353.36",Angola,"18,993,000",15.23,39.46
35,"756,950.00","292,259.91",Chile,"17,114,000",22.61,58.56
124,"41,526.00","16,033.27",Netherlands,"16,609,518",399.98,"1,035.94"
27,"274,200.00","105,869.17",Burkina Faso,"16,287,000",59.40,153.84
87,"2,717,300.00","1,049,154.96",Kazakhstan,"16,197,000",5.96,15.44
127,"1,267,000.00","489,191.23",Niger,"15,891,000",12.54,32.48
105,"118,480.00","45,745.36",Malawi,"15,692,000",132.44,343.03
108,"1,240,000.00","478,766.48",Mali,"14,517,176",11.71,30.32
69,"108,890.00","42,042.65",Guatemala,"14,377,000",132.03,341.96
52,"283,560.00","109,483.08",Ecuador,"14,228,000",50.18,129.96
29,"181,040.00","69,899.91",Cambodia,"13,395,682",73.99,191.64
191,"752,614.00","290,585.77",Zambia,"13,257,000",17.61,45.62
150,"196,190.00","75,749.35",Senegal,"12,861,000",65.55,169.78
192,"390,580.00","150,803.72",Zimbabwe,"12,644,000",32.37,83.84
67,"131,940.00","50,942.30",Greece,"11,306,183",85.69,221.94
34,"1,284,000.00","495,754.97",Chad,"11,274,106",8.78,22.74
44,"110,860.00","42,803.27",Cuba,"11,204,000",101.06,261.76
17,"30,510.00","11,779.97",Belgium,"10,827,519",354.88,919.15
139,"92,391.00","35,672.35",Portugal,"10,636,888",115.13,298.18
46,"78,866.00","30,450.32",Czech Republic,"10,512,397",133.29,345.23
175,"163,610.00","63,170.15",Tunisia,"10,432,500",63.76,165.15
70,"245,857.00","94,925.88",Guinea,"10,324,000",41.99,108.76
143,"26,338.00","10,169.15",Rwanda,"10,277,000",390.20,"1,010.61"
50,"48,730.00","18,814.75",Dominican Republic,"10,225,000",209.83,543.46
73,"27,750.00","10,714.33",Haiti,"10,188,000",367.14,950.88
21,"1,098,580.00","424,163.94",Bolivia,"10,031,000",9.13,23.65
75,"93,030.00","35,919.07",Hungary,"10,013,628",107.64,278.78
151,"102,350.00","39,517.54",Serbia & Montenegro,"9,856,000",96.30,249.41
16,"207,600.00","80,154.78",Belarus,"9,471,900",45.63,118.17
166,"449,964.00","173,732.00",Sweden,"9,366,092",20.82,53.91
158,"637,657.00","246,200.64",Somalia,"9,359,000",14.68,38.01
19,"112,620.00","43,482.81",Benin,"9,212,000",81.80,211.85
11,"86,600.00","33,436.43",Azerbaijan,"8,997,400",103.90,269.09
28,"27,830.00","10,745.22",Burundi,"8,519,000",306.11,792.82
10,"83,858.00","32,377.74",Austria,"8,372,930",99.85,258.60
167,"41,290.00","15,942.15",Switzerland,"7,782,900",188.49,488.20
74,"112,090.00","43,278.17",Honduras,"7,616,000",67.95,175.98
82,"20,770.00","8,019.34",Israel,"7,602,400",366.03,948.01
26,"110,910.00","42,822.57",Bulgaria,"7,576,751",68.31,176.93
169,"143,100.00","55,251.20",Tajikstan,"7,075,000",49.44,128.05
134,"462,840.00","178,703.45",Papua New Guinea,"6,888,000",14.88,38.54
172,"56,785.00","21,924.80",Togo,"6,780,000",119.40,309.24
99,"1,759,540.00","679,361.91",Libya,"6,546,000",3.72,9.64
86,"92,300.00","35,637.21",Jordan,"6,472,000",70.12,181.61
135,"406,750.00","157,046.99",Paraguay,"6,460,000",15.88,41.13
94,"236,800.00","91,428.95",Laos,"6,436,000",27.18,70.39
54,"21,040.00","8,123.59",El Salvador,"6,194,000",294.39,762.47
153,"71,740.00","27,698.96",Sierra Leone,"5,836,000",81.35,210.69
126,"129,494.00","49,997.89",Nicaragua,"5,822,000",44.96,116.44
93,"198,500.00","76,641.25",Kyrgyzstan,"5,550,000",27.96,72.42
47,"43,094.00","16,638.68",Denmark,"5,540,241",128.56,332.97
155,"48,845.00","18,859.15",Slovakia,"5,426,645",111.10,287.75
60,"337,030.00","130,127.96",Finland,"5,366,100",15.92,41.24
56,"121,320.00","46,841.89",Eritrea,"5,224,000",43.06,111.52
177,"488,100.00","188,456.39",Turkmenistan,"5,177,000",10.61,27.47
154,693.00,267.57,Singapore,"4,987,600","7,197.11","18,640.45"
129,"324,220.00","125,181.99",Norway,"4,896,700",15.10,39.12
181,"82,880.00","32,000.13",United Arab Emirates,"4,707,000",56.79,147.09
41,"51,100.00","19,729.81",Costa Rica,"4,640,000",90.80,235.18
33,"622,984.00","240,535.37",Central African Republic,"4,506,000",7.23,18.73
81,"70,280.00","27,135.25",Ireland,"4,459,300",63.45,164.34
64,"69,700.00","26,911.31",Georgia,"4,436,000",63.64,164.84
43,"56,542.00","21,830.98",Croatia,"4,435,056",78.44,203.15
125,"268,680.00","103,737.89",New Zealand,"4,383,600",16.32,42.26
96,"10,400.00","4,015.46",Lebanon,"4,255,000",409.13,"1,059.65"
22,"51,129.00","19,741.01",Bosnia & Herzegovina,"3,760,000",73.54,190.47
40,"342,000.00","132,046.88",Congo (Rep.),"3,759,000",10.99,28.47
115,"33,843.00","13,066.85",Moldova,"3,563,800",105.30,272.74
98,"111,370.00","43,000.18",Liberia,"3,476,608",31.22,80.85
184,"176,200.00","68,031.17",Uruguay,"3,372,000",19.14,49.57
111,"1,030,700.00","397,955.33",Mauritania,"3,366,000",3.27,8.46
101,"65,200.00","25,173.85",Lithuania,"3,329,227",51.06,132.25
133,"78,200.00","30,193.18",Panama,"3,322,576",42.49,110.04
8,"29,800.00","11,505.84",Armenia,"3,238,000",108.66,281.42
2,"28,748.00","11,099.66",Albania,"3,195,000",111.14,287.85
92,"17,820.00","6,880.34",Kuwait,"3,051,000",171.21,443.44
130,"212,460.00","82,031.23",Oman,"2,905,000",13.67,35.41
117,"1,565,000.00","604,249.63",Mongolia,"2,768,800",1.77,4.58
84,"10,991.00","4,243.65",Jamaica,"2,730,000",248.39,643.31
95,"64,589.00","24,937.94",Latvia,"2,237,800",34.65,89.73
121,"825,418.00","318,695.54",Namibia,"2,212,000",2.68,6.94
97,"30,355.00","11,720.13",Lesotho,"2,084,000",68.65,177.81
156,"20,273.00","7,827.45",Slovenia,"2,062,700",101.75,263.52
103,"25,333.00","9,781.12",Macedonia,"2,048,620",80.87,209.45
23,"600,370.00","231,804.06",Botswana,"1,978,000",3.29,8.53
63,"11,300.00","4,362.95",Gambia,"1,751,000",154.96,401.33
140,"11,437.00","4,415.85",Qatar,"1,696,563",148.34,384.20
71,"36,120.00","13,946.00",Guinea-Bissau,"1,647,000",45.60,118.10
62,"267,667.00","103,346.76",Gabon,"1,501,000",5.61,14.52
174,"5,128.00","1,979.93",Trinidad & Tobago,"1,344,000",262.09,678.81
57,"45,226.00","17,461.85",Estonia,"1,340,021",29.63,76.74
112,"2,040.00",787.65,Mauritius,"1,297,000",635.78,"1,646.67"
165,"17,363.00","6,703.89",Swaziland,"1,202,000",69.23,179.30
51,"15,007.00","5,794.23",East Timor,"1,171,000",78.03,202.10
48,"23,000.00","8,880.35",Djibouti,"879,000",38.22,98.98
59,"18,270.00","7,054.08",Fiji,"854,000",46.74,121.06
13,665.00,256.76,Bahrain,"807,000","1,213.53","3,143.04"
45,"9,250.00","3,571.44",Cyprus,"801,851",86.69,224.52
72,"214,970.00","83,000.35",Guyana,"761,000",3.54,9.17
20,"47,000.00","18,146.79",Bhutan,"708,000",15.06,39.02
55,"28,051.00","10,830.55",Equatorial Guinea,"693,000",24.71,63.99
38,"2,170.00",837.84,Comoros,"691,000",318.43,824.74
157,"28,450.00","10,984.60",Solomon Islands,"536,000",18.84,48.80
164,"163,270.00","63,038.87",Suriname,"524,000",3.21,8.31
32,"4,033.00","1,557.15",Cape Verde,"513,000",127.20,329.45
102,"2,586.00",998.46,Luxembourg,"502,207",194.20,502.98
109,316.00,122.01,Malta,"416,333","1,317.51","3,412.34"
25,"5,770.00","2,227.81",Brunei,"407,000",70.54,182.69
12,"13,940.00","5,382.26",Bahamas,"346,000",24.82,64.29
18,"22,966.00","8,867.22",Belize,"322,100",14.03,36.32
76,"103,000.00","39,768.51",Iceland,"317,900",3.09,7.99
107,300.00,115.83,Maldives,"314,000","1,046.67","2,710.86"
15,431.00,166.41,Barbados,"257,000",596.29,"1,544.38"
186,"12,200.00","4,710.44",Vanuatu,"246,000",20.16,52.22
146,"2,944.00","1,136.68",Samoa,"179,000",60.80,157.48
145,616.00,237.84,Saint Lucia,"174,000",282.47,731.59
148,"1,001.00",386.49,Sao Tome & Principe,"165,000",164.84,426.92
114,702.00,271.04,Micronesia,"111,000",158.12,409.53
162,389.00,150.19,St. Vincent & the Grenadines,"109,000",280.21,725.73
68,344.00,132.82,Grenada,"104,000",302.33,783.02
173,748.00,288.80,Tonga,"104,000",139.04,360.11
89,811.00,313.13,Kiribati,"100,000",123.30,319.36
6,443.00,171.04,Antigua & Barbuda,"89,000",200.90,520.34
152,455.00,175.68,Seychelles,"85,000",186.81,483.84
4,468.00,180.70,Andorra,"84,082",179.66,465.32
49,754.00,291.12,Dominica,"67,000",88.86,230.14
110,181.00,69.88,Marshall Islands,"63,000",348.07,901.49
144,261.00,100.77,Saint Kitts & Nevis,"38,960",149.27,386.61
100,160.00,61.78,Liechtenstein,"35,904",224.40,581.19
116,2.00,0.77,Monaco,"33,000","16,500.00","42,734.82"
147,61.00,23.55,San Marino,"32,386",530.92,"1,375.07"
132,458.00,176.83,Palau,"20,000",43.67,113.10
122,21.00,8.11,Nauru,"10,000",476.19,"1,233.33"
178,26.00,10.04,Tuvalu,"10,000",384.62,996.15
187,1.00,0.39,Vatican City,800,800.00,"2,071.99"
193,"619,745.00","239,285.00",South Sudan,"8,260,490",13.32,34.52
