ACB,AU Release Date,EU Release Date,PEGI,Publisher,Title
G,2006-12-07,2006-12-08,7,Nintendo,Donkey Kong Country
G,2006-12-07,2006-12-08,3,Nintendo,F-Zero
G,2006-12-29,2006-12-29,3,Nintendo,SimCity
PG,2006-12-29,2006-12-29,3,Konami,Super Castlevania IV
PG,2007-01-19,2007-01-19,12,Capcom,Street Fighter II: The World Warrior
PG,2007-01-19,2007-01-19,12,Konami,Super Probotector: Alien Rebels
G,2007-02-09,2007-02-09,3,Nintendo,Super Mario World
G,2007-02-16,2007-02-16,7,Irem,R-Type III: The Third Lightning
PG,2007-03-09,2007-03-09,7,Capcom,Super Ghouls'n Ghosts
PG,2007-03-23,2007-03-23,7,Nintendo,The Legend of Zelda: A Link to the Past
PG,2007-03-30,2007-03-30,7,Konami,The Legend of the Mystical Ninja
PG,2007-04-13,2007-04-13,7,Square Enix,ActRaiser
PG,2007-04-27,2007-04-27,12,Capcom,Final Fight
G,2007-05-16,2007-05-16,3,Nintendo,Donkey Kong Country 2: Diddy's Kong Quest
G,2007-06-29,2007-06-29,3,Nintendo,Kirby's Dream Course
PG,2007-07-20,2007-07-20,12,Capcom,Street Fighter II' Turbo: Hyper Fighting
G,2007-07-27,2007-07-27,3,Nintendo,Kirby's Ghost Trap
G,2007-08-10,2007-08-10,7,Capcom,Breath of Fire II
PG,2007-08-31,2007-08-31,12,Nintendo,Vegas Stakes
G,2007-09-14,2007-09-14,3,Nintendo,Mario's Super Picross (900 Wii Points)
G,2007-09-28,2007-09-28,7,Konami,Gradius III (900 Wii Points)
G,2007-10-12,Unreleased,7,Konami,Axelay
PG,2007-10-12,2007-10-12,7,Nintendo,Super Metroid
PG,2007-12-07,2007-12-07,7,Hudson Soft,Cybernator
G,2007-12-25,2007-12-25,3,Nintendo,Donkey Kong Country 3: Dixie Kong's Double Trouble!
G,2008-01-04,2008-01-04,3,Natsume,Harvest Moon
PG,2008-01-25,2008-01-25,12,Capcom,Super Street Fighter II: The New Challengers
PG,2008-02-29,2008-02-29,7,Factor 5,Super Turrican
G,2008-03-14,2008-03-14,7,Irem,Super R-Type
G,2008-06-27,2008-06-27,3,Namco Bandai Games,Pac-Attack
G,2008-08-22,2008-08-22,3,Nintendo,Super Mario RPG: Legend of the Seven Stars (900 Wii Points)
G,2008-09-05,2008-09-05,3,Hudson Soft,DoReMi Fantasy: Milon's DokiDoki Adventure (900 Wii Points)
G,2008-11-28,2008-11-28,3,Taito,Space Invaders: The Original Game
G,2008-12-26,2008-12-26,7,Square Enix,Secret of Mana
G,2009-03-20,2009-03-20,12,Nintendo,Super Punch-Out!!
PG,2009-07-03,2009-07-03,7,Nintendo,Ogre Battle: The March of the Black Queen (900 Wii Points)
G,2009-07-24,2009-07-24,3,Nintendo,Kirby's Dream Land 3 (900 Wii Points)
G,2009-08-21,2009-08-21,7,Nintendo,Pilotwings
PG,2009-09-18,2009-09-18,7,LucasArts,Super Star Wars
PG,2009-10-02,2009-10-02,7,LucasArts,Super Star Wars: The Empire Strikes Back
PG,2009-10-09,2009-10-09,12,Capcom,Final Fight 2
PG,2009-10-16,2009-10-16,7,LucasArts,Super Star Wars: Return of the Jedi
PG,2009-10-30,2009-10-30,12,LucasArts,Zombies
PG,2010-01-29,2010-01-29,12,Capcom,Street Fighter Alpha 2
PG,2010-02-05,2010-02-05,12,Capcom,Final Fight 3
G,2010-04-02,2010-04-02,3,Nintendo,Super Mario Kart
PG,2010-04-23,2010-04-23,12,LucasArts,Indiana Jones' Greatest Adventures
PG,2010-05-14,2010-05-14,12,LucasArts,Ghoul Patrol
G,2010-05-28,2010-05-28,3,Nintendo,Kirby's Fun Pak
PG,2010-06-11,2010-06-11,7,Square Enix,Final Fantasy II (900 Wii Points)
G,2010-07-23,2010-07-23,3,Sunsoft,Aero the Acro-Bat
G,2010-08-06,2010-08-06,3,Sunsoft,Aero the Acro-Bat 2
PG,2010-08-13,2010-08-13,12,Natsume,Wild Guns
G,2010-09-24,2010-09-24,7,Square Enix,Mystic Quest Legend
PG,2010-10-08,2010-10-08,12,Jaleco,Rival Turf!
G,2010-10-29,2010-10-29,7,Jaleco,Super E.D.F.: Earth Defense Force
G,2010-12-10,2010-12-10,3,Hudson Soft,Super Bonk (900 Wii Points)
PG,2011-02-18,2011-02-18,12,Natsume,Natsume Championship Wrestling (900 Wii Points)
PG,2011-03-18,2011-03-18,7,Square Enix,Final Fantasy III (900 Wii Points)
PG,2011-04-01,2011-04-01,12,Jaleco,Brawl Brothers
PG,2011-04-29,2011-04-29,7,Jaleco,The Ignition Factor (900 Wii Points)
G,2011-05-13,2011-05-13,3,Hudson Soft,Super Adventure Island
PG,2011-05-20,2011-05-20,12,Square Enix,Chrono Trigger (900 Wii Points)
G,2011-06-10,2011-06-10,3,Hudson Soft,Super Adventure Island II
PG,2012-01-19,2012-01-19,12,Ubisoft,Prince of Persia
