Address,Call Letters,Dial Location,Format,Telephone
"3321 S La Cienega Blvd, Los Angeles 90016",KABC (ABC Radio Networks),AM 790,News/Talk,(310) 840-4900
"747 E Green St, Pasadena 91101",KALI AM,AM 900,Spanish News/Talk,(626) 844-8882
"747 E Green St, Pasadena 91101",KAZN (Asian Radio),AM 1300,Chinese Variety,(626) 568-1300
"123 Figueroa St, #101A, Los Angeles 90012",KBLA,AM 1580,Spanish News/Talk,(213) 628-8700
"3183-D Airway Ave, Costa Mesa 92626",KBRT (K-Bright),AM 740,Religious Talk,(714) 754-4450
"3321 S La Cienega Blvd, Los Angeles 90016",KDIS (Radio Disney),AM 1110,Children?s Programming,(310) 840-4900
"610 S Ardmore Ave, Los Angeles 90005",KFI (More Stimulating Talk Radio),AM 640,Talk,(213) 385-0101
"501 Santa Monica Blvd, Ste 301, Santa Monica 90401",KFOX (Radio Seoul),AM 1650,Korean,(310) 395-1427
"105 Linden Ave, Long Beach 90802",KFRN (Family Radio Network),AM 1280,Religious,(562) 435-0103
"6230 Yucca St, Los Angeles 90028",KFWB (News 98),AM 980,News,(323) 462-5392
"1845 Empire Ave, Burbank 91504",KHJ (La Ranchera),AM 930,Spanish Ranchero,(818) 729-5300
"123 S Figueroa St, Ste 101A, Los Angeles 90012",KIRN (Radio Iran),AM 670,Iranian,(213) 628-8700
"610 S Ardmore Ave, Los Angeles 90005",KLAC,AM 570,Oldies,(213) 385-0101
"136 S. Oak Knoll #202, Pasadena 91101",KLTX (Nueva Vida),AM 1390,Spanish Religious,(626) 356-4230
"747 E Green St, Pasadena 91101",KMNY,AM 1600,Chinese,(626) 844 1600
"2800 28th St. #308, Santa Monica 90404",KMPC (Sporting News Radio),AM 1540,Sports,(310) 452-7100
"747 East Green St, Pasadena 91101",KMRB,AM 1430,Cantonese,(626) 844-8882
"15301 Ventura Blvd, #210 Sherman Oaks 91403",KMXE,AM 830,Spanish Talk,(818) 528-2050
"6121 Sunset Blvd, Los Angeles 90028",KNX (CBS Radio),AM 1070,News,(323) 460-3000
"701 N Brand, #550, Glendale 91203",KRLA (Smart Talk),AM 870,Talk,(818) 956-5552
"9485 Haven Ave, Rancho Cucamonga 91730",KSPA (Station of the Stars),AM 1510,Adult Standards,(909) 483-1500
"3321 S La Cienega Blvd, Los Angeles 90046",KSPN (ESPN Radio),AM 710,Sports,(310) 840-2874
"1500 Cotner Ave, Los Angeles 90025",KSUR,AM 1260,Adult Standards,(310) 478-5540
"655 N. Central Ave, #2500, Glendale 91203",KTNQ (10-20),AM 1020,News Sports Information Spanish,(818) 500-4500
"6803 West Blvd, Inglewood 90302",KTYM,AM 1460,Religious/Ethnic,(310) 672-3700
"9355 Chapman Ave, #108, Garden Grove 92841",KVNR (Radio Vietnam),AM 1480,Asian,(714) 741-9502
"1645 N Vine St, #201, Los Angeles 90028",KWKW (13-30),AM 1330,Spanish News/Talk/Sports,(323) 466-8111
"701 N Brand Blvd, Glendale 91203",KXMX,AM 1190,Foreign Language/Talk,(818) 956-5552
"610 S Ardmore Ave, Los Angeles 90005",KXTA (Fox Sports),AM 1150,Sports Talk,(213) 385-0101
"626 S Kingsley Dr, Los Angeles 90005",KYPA (Radio Korea),AM 1230,Korean,(213) 625-3000
