Hospital name,Link Surgeons,Local Health Boards
Morriston Hospital (Swansea),Roger Morgan,Abertawe Bro Morgannwg University LHB
Singleton Hospital (Swansea),Roger Morgan,
Princess of Wales Hospital (Bridgend),Roger Morgan,
Neville Hall Hospital (Abergavenny),Richard Blackett,Aneurin Bevan LHB
Royal Gwent Hospital (Newport),Ahmed Shandall,
University Hospital Llandough,Wyn Lewis,Cardiff and Vale LHB
University Hospital of Wales (Cardiff),Wyn Lewis,
Prince Charles Hospital (Merthyr Tydfil),Professor P N Haray?,Cwm Taff LHB
Royal Glamorgan Hospital (Llantrisant),Alan Woodward,
Bronglais Hospital (Aberystwyth),,Hywel Dda LHB (Link surgeon to be appointed)
Prince Philip Hospital (Llanelli),,
Glangwili Hospital (Carmarthen),,
Withybush Hospital (Haverford West),,
Ysbyty Gwynedd (Bangor),Anil Lala,Betsi Cadwalader University LHB
Ysbyty Glan Clwyd (Rhyl),Richard Morgan,
Maelor Hospital (Wrexham),Mr P J Billings,
