Elevation (metres),Name of Water Body,Net Area (square kilometres),Total Area (square kilometres)
184,Lake Superior,not available,28 700*
177,Lake Huron,not available,36 000*
174,Lake Erie,not available,12 800*
75,Lake Ontario,not available,10 000
260,Lake Nipigon,4 510,4 848
323,Lake of the Woods,2 458,3 150
357,Lac Seul,1 373,1 657
175,Lake St. Clair,436,490
338,Rainy Lake,692,741
265,Lake Abitibi,903,931
196,Lake Nipissing,822,832
219,Lake Simcoe,723,744
213,Big Trout Lake,624,661
275,Sandy Lake,507,527
371,St. Joseph Lake,459,493
394,Trout Lake,368,413
