Capital,Date of Independence,Head of Central Bank,IMF #Votes,IMF SDRs,Name of Currency,OAU State,Official Language
Algiers,Jul 1962,Abdelouahab Keramane,"9,394",914.4,Dinar,Algeria,Arabic
Luanda,Nov 1975,Mario de Alcantara Monteiro,"2,323",207.3,New Kwanza,Angola,Portuguese
Porto-Novo,Aug 1960,Moise Mensah,703,45.3,CFA franc,Benin,French
Gaborone,Sep 1966,Balendzi Gaolathe,616,36.6,Pula,Bostwana,English
Ouagadougou,Aug 1960,Tertius Zongo,696,44.2,CFA franc,Burkina Faso,French
Bujumbuna,Jul 1962,Mathias Sinamenye,822,57.2,Brundi franc,Burundi,Rundi/French
Yaounde,Jan 1960,Edouard Akame Mfoumou,1.601,135.1,CFA franc,Cameroon,French/Eng.
Praia,Jul 1975,Antonio Gualberto do Rosario,320,7.0,Escudo,Cape Verde,Portuguese
Bangui,Aug 1960,Anicet-Georges Dologuele,662,41.2,CFA franc,Central African Republic,"French, Sango"
N'Ojamena,Aug 1960,Bichara Cherif Daoussa,663,41.3,CFA franc,Chad,"Arabic, French"
Moroni,Jul 1975,Mohamed Ali Soilihi,315,6.5,Comorian franc,Comoros,Comorian
Kinshasa,Aug 1960,Vanant,000,291.0,CFA franc,"Congo, Democratic Republic of the",French
Brazaville,Jun 1960,Nguila Moungounga-Nkombo,829,57.9,CFA franc,"Congo, Repulic Of",French
Abidjan,Aug 1960,N'Goran Niamien,2632,238.2,CFA franc,Cote d'Ivoire,French
Djibouti,Jun 1977,Djama Mahamoud Haid,365,11.5,Djib franc,Dijibouti,"Arabic, French"
Cairo,Feb 1922,Moheiddin El-Gharib,"7,034",678.4,"Egyptian, Pound",Egypt,Arabic
Malabo,Oct 1968,Marceli Oyono Ntutumu,493,24.3,CFA franc,Equatorial Guinea,Spanish
Asmara,May 1993,Tekie Beyene,365,11.5,Nakfa,Eritrea,None
Addis Ababa,"1,000BC",Dubale Jale,"1,233",98.3,Birr,Ethiopia,Amharic
Libreville,Aug 1960,Marcel Doupamby Matoka,"1,242",110.3,CFA franc,Gabon,French
Benjul,Feb 1965,Dominic Mendy,479,22.9,Dalasi,"Gambia, The",English
Accra,Mar 1957,Kwabena Duffour,"2,990",274.0,Cedi,Ghana,English
Conakry,Oct 1958,Ibrahima Kassory Fofana,"1,037",78.7,Guinean franc,Guinea,French
Bissau,Sep 1974,Issufo Sanha,355,10.5,Guinea-Bissau peso,Guinea-Bissau,Portuguese
Nairobi,Dec 1963,Musalia Mudavadi,"2,224",199.4,Kenya shilling,Kanya,"Swahili, English"
Maseru,Oct 1966,C.T Thamae,489,23.9,Malito (Loti),Lesotho,"Sotho, English"
Monrovia,July 1847,Elio E. Saleeby,963,71.3,Liberian dollar,Liberia,English
Tripoli,Dec 1951,Taher E. Jehaimi,"8,426",817.6,Libyan dinar,Libya,Arabic
Antananarivo,Jul 1960,Andrianarivo Tantely,"1,154",90.4,Madagasy franc,Madagascar,"Malagasy, French"
Lilongwe,Jul 1964,M.A.P. Chikaonda,759,50.9,Malawi Kwacha,Malawi,English
Bama Ko,Jul 1965,Soumaila Cisse,939,68.9,CFA franc,Mali,French
Nouakchott,Nov 1960,Mohamedou Ould Michel,725,47.5,Ouguiya,Mauritania,Arabic
Porto Louis,Mar 1968,Vasant Kumar Bunwaree,893,73.3,Mouritian rupee,Mauritius,English
Rabat,Mar 1956,Mohamed Seqat,"4,527",427.7,Morrocan dirham,Morocco,Arabic
Maputo,Jun 1975,Tomaz Augusto Salomao,1090,84.0,Metical,Mozambique,Portuguese
Windhoek,Mar 1990,Nangolo Mbumba,"1,246",99.6,Nambian dollar,Namibia,English
Niamey,Aug 1960,Ahmadou Mayaki,733,48.3,CFA franc,Niger,French
Lagos,Oct 1960,Anthony A. Ani,13.006,"1,281.6",Nigerian Naira,Nigeria,English
Kagali,Jul 1962,Donat Kaberuka,845,59.5,Rwandan franc,Rwanda,"Rwanda, French"
Sao Tome,Jul 1975,Carlos Quaresma Batista,305,5.5,Dobra,Sao Tome and Principe,Portuguese
Dakar,Aug 1960,Papa Ousmane Sakho,"1,439",118.9,CFA franc,Senegal,French
Victoria,Jun 1976,James Michel,310,6.0,Seychelles rupee,Seychelles,None
Freetown,Aug 1960,Thaimu Bangura,1022,77.2,Leon,Sierra Leone,English
Mogadishu,Jul 1961,Vacant,692,44.2,Someli Shilling,Somalia,"Somali, Arabic"
Pretoria,May 1910,Christian Lodewyk Stals,"13,904","1,365.4",Rand,South Africa,English...
Khartoum,Jan 1956,Vacant,000,169.7,Sudanese dinar,Sudan,Arabic
Mbabane,Sep 1968,Themba N. Mashuka,615,36.5,Lulangeni,Swaziland,"Swazi, English"
Dar es Salaam,Dec 1961,Daniel N. Yona,"1,719",146.9,Tansanian shilling,Tanzania,"Swahili, English"
Lome,Apr 1960,Barry Moussa Barque,793,54.3,CFA franc,Togo,French
Tunis,Mar 1956,Mohamed El Beji Hamda,"2,310",206.0,Dinar,Tunisia,Arabic
Kampela,Oct 1962,Jehoash Mayanja-Nkangi,"1,589",133.9,Uganda shilling,Uganda,"Swahili, English"
Lusaka,Oct 1964,Ronald Damson Siame Penza,"3,885",363.5,Zambian Kwacha,Zambia,English
Harare,Sep 1980,Herbert Murerwa,"2,863",261.3,Zambabe dollar,Zambabwe,English
