CONQUERED ON,HEIGHT IN METERS,MOUNTAIN,RANGE
"May 29, 1953","8,848",Mount Everest,Himalayas
"July 31, 1954","8,611",K-2 (Godwin Austin),Karakoram
"May 25, 1955","8,597",Kanchenjunga,Himalayas
"May 18, 1956","8,511",Lhotse,Himalayas
"May 15, 1955","8,481",Makalu I,Himalayas
"May 13, 1960","8,167",Dhaulagiri I,Himalayas
"May 9, 1956","8,156",Manaslu,Himalayas
"Oct 19, 1954","8,153",Cho Uyo,Himalayas
"July 3, 1953","8,124",Nanga Parbat,Himalayas
"June 3, 1950","8,078",Annapurna I,Himalayas
"July 5, 1958","8,068",Gasherbrum I,Karakoram
"June 9, 1957","8,047",Broad Peak I,Karakoram
"July 7, 1956","8,034",Gasherbrum II,Karakoram
"May 2, 1964","8,013",Shisha Pangma (Gasainthan),Himalayas
"Aug 11, 1975","7,952",Gasherbrum III,Karakoram
"May 17, 1960","7,937",Annapurna II,Himalayas
"Aug 6, 1958","7,923",Gasherbrum IV,Karakoram
"Apr 10, 1964","7,921",Cyachug Kang,Himalayas
"May 26, 1974","7,902",Kangbachen,Himalayas
"June 9, 1960","7,884",Disteghil Sar I,Karakoram
"May 24, 1960","7,864",Himal Chuli,Himalayas
"Aug 26, 1971","7,852",Khinyang Chchish,Karakoram
Oct 1970,"7,841",Nuptse,Himalayas
"July 5, 1960","7,821",Gasherbrum East,Karakoram
"Aug 29, 1936","7,816",Nanda Devi,Himalayas
"Oct 30, 1954","7,815",Chomo Lonzo,Himalayas
"May 5, 1965","7,805",Ngojumba Ri I,Himalayas
"June 25, 1988","7,788",Rakaposhi,Karakoram
"July 30, 1976","7,785",Batura Muztagh I,Karakoram
Unclimbed,"7,780",Zemu Gap Peak,Himalayas
"July 19, 1939","7,760",Kanjut Sar,Karakoram
"June 21, 1931","7,756",Kamet,Himalayas
