Coupe Most Popular Styles,Engine,MPG,MSRP
Coupe Manual,Premium Unleaded V-6 3.7 L,18/26,"$30,815"
Coupe Automatic,Premium Unleaded V-6 3.7 L,19/26,"$32,115"
Coupe Manual Sport,Premium Unleaded V-6 3.7 L,18/26,"$34,395"
Coupe Automatic Sport,Premium Unleaded V-6 3.7 L,19/26,"$35,695"
Coupe Manual Sport Tech,Premium Unleaded V-6 3.7 L,18/26,"$37,895"
Coupe Manual Touring,Premium Unleaded V-6 3.7 L,18/26,"$38,795"
Coupe Automatic Sport Tech,Premium Unleaded V-6 3.7 L,19/26,"$39,195"
Coupe Automatic Touring,Premium Unleaded V-6 3.7 L,19/26,"$40,095"
Coupe Manual NISMO,Premium Unleaded V-6 3.7 L,18/26,"$42,815"
Coupe Automatic NISMO,Premium Unleaded V-6 3.7 L,19/26,"$44,115"
Coupe Manual NISMO Tech,Premium Unleaded V-6 3.7 L,18/26,"$46,315"
Coupe Automatic NISMO Tech,Premium Unleaded V-6 3.7 L,19/26,"$47,615"
