Date,Location,Time
"November 2, 2013",Halenbeck Hall Pool,9:00 AM - 9:50 AM
"November 2, 2013",Halenbeck Hall Pool,10:00 AM - 10:50 AM
"November 2, 2013",Halenbeck Hall Pool,11:00 AM - 11:50 AM
"November 9, 2013",Halenbeck Hall Pool,9:00 AM - 9:50 AM
"November 9, 2013",Halenbeck Hall Pool,10:00 AM - 10:50 AM
"November 9, 2013",Halenbeck Hall Pool,11:00 AM - 11:50 AM
"November 16, 2013",Halenbeck Hall Pool,9:00 AM - 9:50 AM
"November 16, 2013",Halenbeck Hall Pool,10:00 AM - 10:50 AM
"November 16, 2013",Halenbeck Hall Pool,11:00 AM - 11:50 AM
"November 23, 2013",Halenbeck Hall Pool,9:00 AM - 9:50 AM
"November 23, 2013",Halenbeck Hall Pool,10:00 AM - 10:50 AM
"November 23, 2013",Halenbeck Hall Pool,11:00 AM - 11:50 AM
