Daily earnings,Daily traffic,Domain,Ip Adress,Rank
$4.03,≈904,dating.se,194.152.38.143,"1,333,658"
$880.24,"≈293,048",spilskyen.tv2.dk,194.152.38.21,"3,631"
$9.27,"≈2,603",spigo.de,194.152.38.22,"401,348"
$16.18,"≈4,887",spigo.dk,194.152.38.23,"237,654"
$4.03,≈904,spigo.es,194.152.38.24,"1,263,672"
$4.03,≈904,spigo.pt,194.152.38.27,"1,179,336"
$5.46,"≈1,358",spigo.it,194.152.38.29,"809,448"
$4.03,≈904,spigo.se,194.152.38.29,"1,282,791"
$2.72,≈502,n/a spigo.co.uk,194.152.38.102,"2,454,167"
$120.4,"≈39,636",n/a dating.dk,194.152.38.130,"25,238"
$4.03,≈904,n/a dating.no,194.152.38.143,"1,281,775"
$2.02,≈300,n/a spilop.dk,194.152.38.24,"3,759,312"
$2.02,≈300,n/a spigo.nl,194.152.38.25,"3,895,733"
$1.86,≈263,n/a spigo.be,194.152.38.25,"4,492,137"
$2.72,≈502,n/a spigo.in,194.152.38.26,"2,339,633"
$3.2,≈644,n/a spigo.cz,194.152.38.26,"1,792,122"
$3.2,≈644,n/a spigo.fr,194.152.38.26,"1,933,454"
$0.74,≈52,n/a spigo.gr,194.152.38.26,"26,962,627"
$8.36,"≈2,315",n/a spigo.com.br,194.152.38.27,"494,002"
$2.02,≈300,n/a spigo.no,194.152.38.27,"3,680,878"
