,A,B,F,L,P,Pts,Team,W
1,272,2,447,3,18,34,Broncos,15
2,327,2,421,4,18,32,Cowboys,14
3,212,2,399,6,18,28,Roosters,12
4,296,2,376,7,18,26,Rabbitohs,11
5,264,2,350,8,18,24,Storm,10
6,354,2,332,8,18,24,Sharks,10
7,354,2,362,9,18,22,Bulldogs,9
8,384,2,367,9,18,22,Warriors,9
9,421,2,437,10,18,20,Raiders,8
10,282,2,270,10,18,20,Dragons,8
11,368,2,320,11,18,18,Sea Eagles,7
12,372,2,295,11,18,18,Panthers,7
13,438,2,334,11,18,18,Eels,7
14,454,2,338,12,18,16,Knights,6
15,470,2,319,12,18,16,Titans,6
16,416,2,317,13,18,14,Tigers,5
