Country of Origin,English Title (or Literal Meaning),Original Language,Original Title,Summary,Year
France,"(lit. Joke Aside), meaning all kidding aside.[8]",French,Blague à Part[5][6][7],"A sitcom depicting the daily lives of Psychiatrist Isabelle and Comedian Nicolas, a married couple and their friends.",1998-2003
France,(lit. Coffee Camera),French,Caméra Café,Series consisting of seven minute episodes taking place in an office. All action is shot from the point of view of the coffee machine.,2001-2004
France,"Partners, Fathers, Lovers (lit. Worries and men)",French,Des soucis et des hommes[9][10][11],"Also known in English as Partners, Fathers and Lovers.",2012
France,"Desparate Parents (lit. Don't do this, Don't do that)",French,"Fais pas ci, Fais pas ça[12][13][14]","Two couples, the free spirited Bouleys and the conservative-authoritarian Lepics, agree to star in a reality program along with their children. The focus is mainly on the differences between how both sets of parents raise their children and how the children differ from their parents expectations. The first season is a mockumentary/pretend reality show. From the second season on all documentary aspects are discarded and the two families have become next-door neighbors.",2007–present
France,N/A,French,H,A surrealistic comedy series about the daily lives of the wacky staff and interns at a hospital in a Paris suburb.,1998–2002
France,"N/A (Intentional misspelling of Camelot, which is spelt the same in both French and English.)",French,Kaamelott,"Medieval fantasy, comedy about the legendary King Arthur and his quest for the Holy Grail. The episodes range in duration from three and a half minutes to forty-four minutes, getting longer as the series progresses.",2004-2009
France,(lit. The Guérin Family),French,La Famille Guérin,,2002
France,,French,Le Bébête Show,,1982-1995
France,(lit. The Girls next door),French,Les Filles d'à côté[15][16][17],,1993-1995
France,(lit. The Puppets of info),French,Les Guignols de l'info,Satirical news show with puppets.,1988–present
France,(lit. The New Girls next door),French,Les Nouvelles Filles d'à côté[18][19][20],,1995-1996
France,(lit. My worst buddies),French,Mes pires potes[21][22][23],"Simon inherited a house in a Parisian suburb and now lives there with his three friends who crash his car, use his money to buy bad sculptures, have many sexual partners over and so on.",2000-2001
France,(lit. Samantha oops!),French,Samantha oups!,"The daily lives of two young women, Samantha Lo and Chantal Matieu, played by two young male actors, David Strajmayster and Guillaume Carcaud.",2004-2007
France,,French,SAV des émissions,"Also known as Le Service après-vente des émissions. Each episode is approximately two minutes, fifteen seconds long.",2005-2012
France,,French,Scènes de ménages[24][25][26],,2009–present
France,,French,Soda,,2011–present
France,A Wonderful Family,French,Une famille formidable,,1992–present
France,(lit. Live the colony !),French,Vive la colo !,35 year-old Morgane has just broken up with her significant other and her father has been hospitalized. She goes to fill in for her father as director of a summer camp for 10 to 14 year-olds.,2012-2013
France,WOMEN! (lit. You the women),French,Vous les femmes,Sketch comedy series written by and starring Judith Siboni and Olivia Côte. The two play various women from all walks of life in ordinary circumstances that often turn absurd.,2007-2011
France,N/A,French,WorkinGirls[27][28][29],"The daily lives of six off-beat women who work in an office. Karine is the sadistic tyrant of a boss who hates disabled people and gay people, her employees suspect she is gay. Déborah is a sex addict who has had complaints made against her for sexual harassment. Hélène is a recluse who often lies to try to get friends. Nathalie has many children. The two receptionists, Sophie and Sophie are lazy, rude to the clients and very critical of their coworkers.",2012–present
