Category,Date,Notes,Number,Type
Distributors,1976,"350, Corvette L82, California gm chevy sbc bbc dizzy",1103200,None
Distributors,1976,"400, Pass, Chevelle, Monte Carlo gm chevy sbc bbc dizzy",1103203,None
Distributors,1976,"262, Monza California gm chevy sbc bbc dizzy",1103209,None
Distributors,1977,"305, Cars gm chevy sbc bbc dizzy",1103239,None
Distributors,1977,"305, Cars California gm chevy sbc bbc dizzy",1103244,None
Distributors,1977,"350, Cars, Corvette gm chevy sbc bbc dizzy",1103246,None
Distributors,1977,"350, Cars, Corvette California gm chevy sbc bbc dizzy",1103248,None
Distributors,1977,"305, Cars high altitude gm chevy sbc bbc dizzy",1103252,None
Distributors,1977,"350, Corvette L-82 gm chevy sbc bbc dizzy",1103256,None
Distributors,1977,"350, Corvette L-82 California gm chevy sbc bbc dizzy",1103257,None
Distributors,1977,"350, Corvette L-82 high altitude gm chevy sbc bbc dizzy",1103258,None
Distributors,1979,"305, Cars gm chevy sbc bbc dizzy",1103281,None
Distributors,1979,"305, Cars California gm chevy sbc bbc dizzy",1103282,None
Distributors,1980,"350, Z-28 Camaro gm chevy sbc bbc dizzy",1103284,None
Distributors,1978,"350, Corvette California gm chevy sbc bbc dizzy",1103285,None
Distributors,1978,"350, Camaro Nova high altitude gm chevy sbc bbc dizzy",1103286,None
Distributors,1980,"350, Corvette L-48 Manual transmission gm chevy sbc bbc dizzy",1103287,None
Distributors,1978-1979,"350, Corvette L-82 gm chevy sbc bbc dizzy",1103291,None
Distributors,1978-1980,"350, All gm chevy sbc bbc dizzy",1103337,None
Distributors,1978,"350, All Std., high altitude gm chevy sbc bbc dizzy",1103353,None
Distributors,1979-1980,"305, All gm chevy sbc bbc dizzy",1103368,None
Distributors,1979,"267, Malibu, Monte Carlo Auto trans gm chevy sbc bbc dizzy",1103370,None
Distributors,1979,"267, Malibu, Monte Carlo Auto trans gm chevy sbc bbc dizzy",1103371,None
Distributors,1979,"305, All gm chevy sbc bbc dizzy",1103379,None
Distributors,1980,"267J, Malibu, Monte Carlo gm chevy sbc bbc dizzy",1103382,None
