ประเภท,ฟังก์ชั่น**,ยี่ห้อ,ราคา,รุ่น
มัลติฟังก์ชั่น Inkjet,P S C,epson,"2,690",Epson ME-101
มัลติฟังก์ชั่น Inkjet,P S C,epson,"3,290",Epson TX220
มัลติฟังก์ชั่น Inkjet,P S C W,epson,"3,490",Epson ME-301
มัลติฟังก์ชั่น Inkjet,P S C N,epson,"4,990",Epson WF-2528
มัลติฟังก์ชั่น Inkjet,P S C,epson,"4,990",Epson L210
มัลติฟังก์ชั่น Inkjet,P S C F W,epson,"5,190",Epson WF-2538
มัลติฟังก์ชั่น Inkjet,P S C F N,epson,"5,490",Epson TX510FN
มัลติฟังก์ชั่น Inkjet,P S C,epson,"6,290",Epson L350
มัลติฟังก์ชั่น Inkjet,P S C,epson,"6,590",Epson K200
มัลติฟังก์ชั่น Inkjet,P S C N W,epson,"6,990",Epson ME OFFICE 900WD
มัลติฟังก์ชั่น Inkjet,P S C N,epson,"7,590",Epson K300
มัลติฟังก์ชั่น Inkjet,P S C F W,epson,"8,990",Epson L550
มัลติฟังก์ชั่น Inkjet,P S C F N W,epson,"9,290",Epson WF-3521
มัลติฟังก์ชั่น Inkjet,P S C F N W,epson,"9,900",Epson ME OFFICE 960FWD
มัลติฟังก์ชั่น Inkjet,P S C F N W,epson,"12,900",Epson WF-7511
Dot matrix,P,epson,"8,190",Epson LQ-310
Inkjet,P,epson,"3,590",Epson T30
Inkjet,P,epson,"3,990",Epson L110
Inkjet,P N,epson,"4,790",Epson K100
Inkjet,P N W,epson,"5,090",Epson WF-3011
Inkjet,P,epson,"6,290",Epson L300
Inkjet,P N,epson,"9,500",Epson WP-4011
Inkjet,P,epson,"9,990",Epson T1100
Inkjet,P N W,epson,"10,990",Epson WF-7011
Inkjet,P N,epson,"19,990",Epson B510DN
เลเซอร์ขาวดำ,P,epson,"2,990",Epson ACULASER M1400
เลเซอร์สี,P,epson,"6,690",Epson ACULASER C1700
Photo,P,epson,"6,990",Epson T60
Photo,P,epson,"6,990",Epson PM245
Photo,P,epson,"8,900",Epson PM310
Photo,P,epson,"9,900",Epson L800
Photo,P S C N W CD,epson,"9,990",Epson TX720WD
Photo,P,epson,"16,900",Epson PHOTO1390
