Date,Miles,Race,Track,Type,Winner
4/13/80,200,Datsun Twin 200,Ontario,PO,Johnny Rutherford
5/26/80,500,Indianapolis 500-Mile Race,Indianapolis,PO,Johnny Rutherford
6/8/80,150,Gould Rex Mays Classic,Milwaukee,PO,Bobby Unser
6/22/80,500,True Value 500,Pocono,PO,Bobby Unser
7/13/80,156,Red Roof Inns 150,Mid-Ohio,RC,Johnny Rutherford
7/20/80,200,Norton 200,MIS,PO,Johnny Rutherford
8/3/80,150.536,Kent Oil 150,Watkins Glen,RC,Bobby Unser
8/10/80,200,Tony Bettenhausen 200,Milwaukee,PO,Johnny Rutherford
8/31/80,500,California 500,Ontario,PO,Bobby Unser
9/20/80,150,Gould Grand Prix,MIS,PO,Mario Andretti
10/26/80,148.8,Primera Copa México 150,Mexico City,RC,Rick Mears
11/8/80,150,Miller High Life 150,Phoenix,PO,Tom Sneva
