Airdate,Episode Name,Episode Number,Viewing Progress
1/16/73,The Hunter,Ep16,
1/9/73,The Marriage of Theodora Duffy,Ep15,
1/2/73,The Witness,Ep14,
12/26/72,First Love,Ep13,
12/19/72,The Bucket Dog,Ep12,
12/5/72,The Sound of Sadness,Ep11,
11/28/72,The Hidden Enemy,Ep10,
11/14/72,Stallion,Ep9,
10/31/72,The 26th Grave,Ep8,
10/24/72,Ambush at Rio Lobo,Ep7,
10/10/72,New Man,Ep6,
10/3/72,Riot!,Ep5,
9/26/72,The Initiation,Ep4,
9/19/72,Heritage of Anger,Ep3,
9/12/72,Forever,Ep2,
9/12/72,Forever,Ep1,
