Babies per million named Eva,Rank,Year
"1,883 babies",#82,2014
"1,774 babies",#88,2013
"1,732 babies",#86,2012
"1,789 babies",#83,2011
"1,673 babies",#91,2010
"1,675 babies",#99,2009
"1,423 babies",#114,2008
"1,364 babies",#117,2007
"1,329 babies",#125,2006
"1,221 babies",#129,2005
858 babies,#198,2004
755 babies,#214,2003
675 babies,#240,2002
585 babies,#272,2001
546 babies,#294,2000
502 babies,#317,1999
435 babies,#345,1998
401 babies,#362,1997
415 babies,#348,1996
391 babies,#349,1995
394 babies,#347,1994
372 babies,#349,1993
380 babies,#340,1992
403 babies,#326,1991
379 babies,#344,1990
391 babies,#323,1989
392 babies,#328,1988
370 babies,#347,1987
396 babies,#331,1986
408 babies,#318,1985
411 babies,#318,1984
456 babies,#288,1983
465 babies,#290,1982
478 babies,#284,1981
471 babies,#297,1980
464 babies,#297,1979
519 babies,#270,1978
496 babies,#291,1977
492 babies,#295,1976
490 babies,#302,1975
538 babies,#286,1974
556 babies,#283,1973
550 babies,#287,1972
553 babies,#291,1971
558 babies,#287,1970
619 babies,#268,1969
614 babies,#256,1968
705 babies,#238,1967
736 babies,#233,1966
730 babies,#233,1965
729 babies,#229,1964
733 babies,#227,1963
741 babies,#220,1962
735 babies,#220,1961
811 babies,#204,1960
784 babies,#207,1959
853 babies,#193,1958
859 babies,#196,1957
933 babies,#185,1956
893 babies,#189,1955
859 babies,#187,1954
829 babies,#193,1953
892 babies,#181,1952
851 babies,#183,1951
921 babies,#175,1950
951 babies,#170,1949
"1,015 babies",#163,1948
983 babies,#168,1947
"1,024 babies",#161,1946
"1,183 babies",#146,1945
"1,215 babies",#148,1944
"1,256 babies",#147,1943
"1,352 babies",#140,1942
"1,493 babies",#135,1941
"1,597 babies",#132,1940
"1,641 babies",#129,1939
"1,667 babies",#126,1938
"1,871 babies",#117,1937
"1,853 babies",#116,1936
"1,993 babies",#110,1935
"2,206 babies",#100,1934
"2,185 babies",#101,1933
"2,283 babies",#98,1932
"2,352 babies",#93,1931
"2,588 babies",#87,1930
"2,604 babies",#84,1929
"2,689 babies",#79,1928
"2,752 babies",#79,1927
"2,838 babies",#79,1926
"3,056 babies",#71,1925
"3,141 babies",#66,1924
"3,169 babies",#66,1923
"3,363 babies",#64,1922
"3,376 babies",#63,1921
"3,620 babies",#58,1920
"3,812 babies",#55,1919
"3,796 babies",#55,1918
"3,815 babies",#54,1917
"3,993 babies",#55,1916
"3,983 babies",#55,1915
"4,277 babies",#52,1914
"4,413 babies",#50,1913
"4,492 babies",#49,1912
"4,774 babies",#46,1911
"5,064 babies",#45,1910
"5,153 babies",#47,1909
"5,446 babies",#46,1908
"5,584 babies",#42,1907
"5,610 babies",#42,1906
"5,857 babies",#39,1905
"6,353 babies",#36,1904
"6,409 babies",#36,1903
"6,160 babies",#37,1902
"6,360 babies",#37,1901
"6,574 babies",#33,1900
"6,392 babies",#39,1899
"6,649 babies",#35,1898
"6,884 babies",#35,1897
"7,059 babies",#32,1896
"7,151 babies",#34,1895
"7,090 babies",#35,1894
"7,406 babies",#32,1893
"7,162 babies",#34,1892
"7,183 babies",#33,1891
"7,121 babies",#32,1890
"7,251 babies",#31,1889
"7,015 babies",#34,1888
"7,238 babies",#33,1887
"7,512 babies",#32,1886
"6,840 babies",#38,1885
"6,752 babies",#38,1884
"7,321 babies",#32,1883
"6,612 babies",#41,1882
"6,686 babies",#34,1881
"6,290 babies",#41,1880
