,Brand,Buy Again,Category,Product,Rating,Reviews
,Estee Lauder,0%,Skincare - Body,Skincare - Body Estee Lauder Re-Nutriv Body Creme2 Reviews,2.5,2
,Estee Lauder,0%,Eye Shadow,Eye Shadow Estee Lauder Pure Color Eyeshadow - Lemon Drop1 Reviews,4.0,1
,Estee Lauder,0%,Eye Shadow,Eye Shadow Estee Lauder Pure Color Eyeshadow - Ice Orchid1 Reviews,3.0,1
,Estee Lauder,0%,Eye Shadow,Eye Shadow Estee Lauder Coolucent Powder for Eyes - Ice White 022 Reviews,2.5,2
,Estee Lauder,0%,Lip Treatments,Lip Treatments Estee Lauder Clearly Citron Smoothing Lip Balm SPF 151 Reviews,3.0,1
,Estee Lauder,0%,Lipstick,Lipstick Estee Lauder Sumptuous lipstick- Modernism1 Reviews,2.0,1
,Estee Lauder,0%,Self Tanners,Self Tanners Estee Lauder Self Action Self Tanner for the Face1 Reviews,1.0,1
,Estee Lauder,0%,Deodorants,Deodorants Estee Lauder White Linen Roll-On Antiperspirant Deodorant1 Reviews,3.0,1
,Estee Lauder,0%,Eye Shadow,Eye Shadow Estee Lauder Pure Color Eyeshadow - Blue Storm1 Reviews,3.0,1
,Estee Lauder,0%,Moisturizers,Moisturizers Estee Lauder 100% for Very Dry Skin - Time Release Moisture Creme [DISCONTINUED]1 Reviews,1.0,1
,Estee Lauder,0%,Lipstick,Lipstick Estee Lauder all Day Lipstick In Milano Tile1 Reviews,2.0,1
,Estee Lauder,0%,Lipstick,Lipstick Estee Lauder Pure Color Lip Vinyl Gloss Stick -Vinyl Citrus1 Reviews,3.0,1
,Estee Lauder,0%,Polishes,Polishes Estee Lauder Pure Color Crystal Orchid Paradise1 Reviews,3.0,1
,Estee Lauder,0%,Mascara,Mascara Estee Lauder Magnacolor1 Reviews,1.0,1
,Estee Lauder,0%,Moisturizers,Moisturizers Estee Lauder Re-nutriv lightweight creme [DISCONTINUED]3 Reviews,2.3,3
