Change,Current Price,Item,New Price
$300,"$8,950",Super Elmar-S 24mm f/3.5 ASPH,"$9,250"
$155,"$7,495",Elmarit-S 30mm f/2.8 ASPH,"$7,650"
$400,"$8,350",Elmarit-S 30mm f/2.8 ASPH CS,"$8,750"
$300,"$6,950",Summarit-S 35mm f/2.5 ASPH,"$7,250"
$500,"$7,950",Summarit-S 35mm f/2.5 ASPH CS,"$8,450"
$400,"$6,350",Elmarit-S 45mm f/2.8 ASPH,"$6,750"
$500,"$7,450",Elmarit-S 45mm f/2.8 ASPH CS,"$7,950"
$255,"$5,995",Summarit-S 70mm f/2.5 ASPH CS,"$6,250"
$255,"$6,995",APO-Macro-Summarit-S 120mm f/2.5,"$7,250"
$200,"$7,350",TS-APO-Elmar-S 120mm f/5.6 ASPH,"$7,550"
$255,"$6,995",APO-Tele-Elmar-S 180mm f/3.5,"$7,250"
$350,"$11,400",Vario Elmar-S 30-90mm f/3.5-56 ASPH,"$11,750"
$900,"$7,350",APO-Summicron-M 50mm ASPH,"$8,250"
$50,$899,Silverline 8x20,$949
$100,"$1,799",Silverline 8x42,"$1,899"
$100,"$1,899",Silverline 10x42,"$1,999"
