2012 Average Monthly Low Temperature,Florida,"Hialeah, FL",United States
Avg. Annual Low Temperature,61.0 °F,69.0 °F,N/A
Avg. January Low Temperature,47.4 °F,58.1 °F,N/A
Avg. February Low Temperature,49.1 °F,59.0 °F,N/A
Avg. March Low Temperature,53.8 °F,62.4 °F,N/A
Avg. April Low Temperature,58.2 °F,66.0 °F,N/A
Avg. May Low Temperature,64.2 °F,69.8 °F,N/A
Avg. June Low Temperature,70.0 °F,73.2 °F,N/A
Avg. July Low Temperature,71.7 °F,74.5 °F,N/A
Avg. August Low Temperature,71.9 °F,74.9 °F,N/A
Avg. September Low Temperature,70.3 °F,74.2 °F,N/A
Avg. October Low Temperature,63.1 °F,70.6 °F,N/A
Avg. November Low Temperature,54.7 °F,65.0 °F,N/A
Avg. December Low Temperature,48.8 °F,59.8 °F,N/A
