Bachelor,Doctorate,HEALTH PROFESSIONS AND RELATED PROGRAMS,Master
-,8,Audiology/Audiologist,-
43,-,Audiology/Audiologist and Speech-Language Pathology/Pathologist,-
33,-,Clinical Laboratory Science/Medical Technology/Technologist,-
-,-,Community Health Services/Liaison/Counseling,4
-,-,"Dental Clinical Sciences, General",6
19,-,Dental Hygiene/Hygienist,3
-,43,Dentistry,-
-,99,Medicine,-
-,8,Nursing Practice,-
-,3,Nursing Science,-
-,-,Occupational Therapy/Therapist,42
-,-,Pathology/Pathologist Assistant,5
-,7,Pharmaceutics and Drug Design,1
-,81,Pharmacy,-
-,31,Physical Therapy/Therapist,-
-,6,"Public Health, General",40
243,-,Registered Nursing/Registered Nurse,43
-,-,Speech-Language Pathology/Pathologist,22
-,-,Vocational Rehabilitation Counseling/Counselor,15
