Azimuth,Channel Code,Depth,Dip,Flags,Instrument,Location Code,Sample Rate
0.00,HNZ,0.00,-90.00,TG,EST-S,20,200.00
0.00,HN1,0.00,0.00,TG,EST-S,20,200.00
90.00,HN2,0.00,0.00,TG,EST-S,20,200.00
0.00,LH1,0.00,0.00,CG,STS2-I,00,1.00
90.00,LH2,0.00,0.00,CG,STS2-I,00,1.00
0.00,LN1,0.00,0.00,CG,EST-S,20,1.00
90.00,LN2,0.00,0.00,CG,EST-S,20,1.00
0.00,BHZ,0.00,-90.00,CG,STS2-I,00,40.00
0.00,BH1,0.00,0.00,CG,STS2-I,00,40.00
90.00,BH2,0.00,0.00,CG,STS2-I,00,40.00
0.00,LHZ,0.00,-90.00,CG,STS2-I,00,1.00
0.00,LNZ,0.00,-90.00,CG,EST-S,20,1.00
0.00,VH1,0.00,0.00,CG,STS2-I,00,0.10
90.00,VH2,0.00,0.00,CG,STS2-I,00,0.10
0.00,VHZ,0.00,-90.00,CG,STS2-I,00,0.10
