,Course Name,Distance,Hole Type,Holes,Location,Rating,Tee Type
,Big Sky Resort - Peak Course,0.0 Miles,Pole Hole,9,"Big Sky, MT",,Natural
,Big Sky Resort - Base Course,0.0 Miles,Baskets,9,"Big Sky, MT",,Natural
,Bighorn Ridge,0.0 Miles,Chainstar,18,"Big Sky, MT",,Natural
,Rose Park,26.7 Miles,DISCatcher,12,"Bozeman, MT",,Concrete
,Battle Ridge,32.7 Miles,Tone,18,"Bozeman, MT",,Dirt
,Bohart Ranch X-C Ski Center - Upper,32.7 Miles,Mach 3,18,"Bozeman, MT",,Concrete
,Bohart Ranch X-C Ski Center - Lower,32.7 Miles,DISCatcher,18,"Bozeman, MT",,Concrete
,Grant DGC,65.6 Miles,Object,18,"Grant Village, WY",No Reviews,Dirt
,George Anderson DGC,65.6 Miles,Mixed,18,"Lake Village, WY",,Mixed
,Mammoth Ridges DGC,65.6 Miles,Object,18,"Mammoth Hot Springs, WY",,Dirt
,Roosevelt DGC,65.6 Miles,Object,18,"Roosevelt, WY",No Reviews,Natural
,Canyon DGC,65.6 Miles,Object,18,"Canyon Village, WY",,Dirt
