Codename,Puppy 2,Released
-,2.00,"June 1, 2006"
-,2.01,"June 19, 2006"
Meaty,2.02,"July 29, 2006"
Gold,2.10,"September 13, 2006"
-,2.11,"October 15, 2006"
Bonanaza (code name chosen by Barry),2.12,"November 18, 2006"
Star,2.13,"January 2, 2007"
Barbie (used to encourage Barry to have some Oz style relaxation on his hols),2.14,"February 17, 2007"
"Viz (development name went from Vii, V to Final of Viz)",2.15CE,"April 6, 200 7"
Luv,2.16CE,"May 17, 2007"
Dancer (named after the worlds smallest dog),2.17,"July 20, 2007"
