APY,CD Rates,Interest Rate,Minimum Opening Deposit
,CD Disclosures (1),,
0.10%,14 Day Certificate of Deposit,0.10%,"$5,000"
0.10%,90 Day Certificate of Deposit,0.10%,$500
0.20%,180 Day Certificate of Deposit,0.20%,$500
0.30%,1 Year Certificate of Deposit,0.30%,$500
0.40%,18 Month Certificate of Deposit,0.40%,$500
0.45%,2 Year Certificate of Deposit,0.45%,$500
0.60%,30 Month Certificate of Deposit,0.60%,$500
0.70%,3 Year Certificate of Deposit,0.70%,$500
0.90%,4 Year Certificate of Deposit,0.90%,$500
1.15%,5 Year Certificate of Deposit,1.15%,$500
