Audience,Format,Title,Topics
"Elementary (K-5), Middle School (6-8)",Book,Harlem: A Poem by Walter Dean Myers,"20th Century (1900-1945), 20th Century (1946-1999), Language Arts, Multicultural Topics, Picturing America Resource, Storytime"
"College/Adult, Elementary (K-5), High School (9-12), Middle School (6-8)",Poster,"Harnett, William EASE 1887","19th Century (1866-1899), Storytime"
"Elementary (K-5), High School (9-12), Middle School (6-8)",Poster,"Harnett, William M. ATTENTION COMPANY! 1878","19th Century (1866-1899), Multicultural Topics"
Elementary (K-5),Book,Harriet and the Promised Land,"19th Century (1800-1865), Multicultural Topics, Picturing America Resource, Storytime"
"College/Adult, Elementary (K-5), High School (9-12), Middle School (6-8)",Poster,"Hartley, Marsden AMERICAN INDIAN SYMBOLS 1914","20th Century (1900-1945), Art of the West, Language Arts, Multicultural Topics, Storytime"
"College/Adult, Elementary (K-5), High School (9-12), Middle School (6-8)",Poster,"Hassam, Childe FLAGS ON THE WALDORF 1916","20th Century (1900-1945), Picturing America Resource, Storytime"
"College/Adult, Elementary (K-5), High School (9-12), Middle School (6-8)",Poster,"Heade, Martin Johnson THUNDERSTORM OVER NARRAGANSETT BAY 1868","19th Century (1866-1899), Art of the West, Language Arts, Storytime"
"College/Adult, Elementary (K-5), High School (9-12), Middle School (6-8)",Poster,"Heade, Martin Johnson TWO HUMMINGBIRDS ABOVE A WHITE ORCHID 1870","19th Century (1866-1899), Art of the West, Multicultural Topics, Science"
Middle School (6-8),Book,Heart to Heart: New Poems Inspired by Twentieth-Century American Art,"19th Century (1866-1899), Language Arts"
Elementary (K-5),Book,Henry Builds a Cabin,"19th Century (1866-1899), Language Arts, Picturing America Resource, Storytime"
Elementary (K-5),Book,Henry Climbs a Mountain,"19th Century (1866-1899), Picturing America Resource, Storytime"
"Elementary (K-5), Middle School (6-8)",Book,Henry David's House,"19th Century (1866-1899), Language Arts, Picturing America Resource, Storytime"
Middle School (6-8),Book,Henry Moore,"20th Century (1900-1945), 20th Century (1946-1999), Artist Biography, Sculpture"
College/Adult,Audio-Visual,Henry Moore: A Life in Sculpture (VHS),"20th Century (1900-1945), 20th Century (1946-1999), Art Ed/Museum Ed, Artist Biography, Sculpture"
"College/Adult, High School (9-12)",Audio-Visual,Henry Moore: A Video Portrait (VHS),"20th Century (1900-1945), 20th Century (1946-1999), Art Ed/Museum Ed, Artist Biography, Sculpture"
"College/Adult, High School (9-12)",Audio-Visual,Henry Ossawa Tanner (VHS),"19th Century (1866-1899), 20th Century (1900-1945), Art Ed/Museum Ed, Artist Biography, Multicultural Topics"
"High School (9-12), College/Adult, Middle School (6-8), Elementary (K-5)",Kit,"Heroes of the Old West: Captain William Clark, Buffalo Bill, and the Unknown Explorer, Images from the Sid Richardson Collection",Art of the West
"College/Adult, Elementary (K-5), High School (9-12), Middle School (6-8)",Poster,"Hine, Lewis A RUSSIAN FAMILY AT ELLIS ISLAND 1905","20th Century (1900-1945), Multicultural Topics, Photography, Picturing America Resource"
"High School (9-12), Middle School (6-8)",Kit,History though Art and Architecture,Art Ed/Museum Ed
Elementary (K-5),Book,Home on the Range: Cowboy Poetry,Language Arts
"High School (9-12), College/Adult, Middle School (6-8), Elementary (K-5)",Kit,Home on the Range: Images from the Sid Richardson Collection of Western Art,Art of the West
"High School (9-12), Middle School (6-8), Elementary (K-5)",Kit,Homecoming: The Art and Life of William H. Johnson,Multicultural Topics
"College/Adult, Elementary (K-5), High School (9-12), Middle School (6-8)",Poster,"Homer, Winslow CROSSING THE PASTURE 1872","19th Century (1866-1899), Picturing America Resource"
College/Adult,Book,Homo Aestheticus: Where Art Comes From and Why,"Art Ed/Museum Ed, Art Surveys"
Elementary (K-5),Book,Honest Abe,"19th Century (1800-1865), Picturing America Resource, Storytime"
"College/Adult, High School (9-12), Middle School (6-8)",Audio-Visual,Horace Pippin: There will Be Peace (VHS),"19th Century (1866-1899), 20th Century (1900-1945), Art Ed/Museum Ed, Artist Biography, Multicultural Topics"
"College/Adult, High School (9-12), Middle School (6-8)",Book,Horses and Other Animals in Motion 45 Classic Photographic Sequences,"19th Century (1866-1899), Photography"
"College/Adult, High School (9-12)",Book,Hotel Texas: An Art Exhibition for the President And Mrs. John F. Kennedy,"20th Century (1946-1999), Art Ed/Museum Ed, Texas History"
Elementary (K-5),Book,"How Artists See Animals: Mammal, Fish, Bird, Reptile","Art Ed/Museum Ed, Science, Storytime"
Elementary (K-5),Book,"How Artists See Artists: Painter, Actor, Dancer, Musician","Art Ed/Museum Ed, Science"
Elementary (K-5),Book,"How Artists See Cities: Streets, Buildings, Shops, Transportation","Art Ed/Museum Ed, Science"
Elementary (K-5),Book,"How Artists See Elements: Earth, Air, Fire, Water","Art Ed/Museum Ed, Art Surveys, Science, Storytime"
Elementary (K-5),Book,"How Artists See Families: Mother, Father, Sister, Brother",Art Ed/Museum Ed
Elementary (K-5),Book,"How Artists See Feelings: Joy, Sadness, Fear, Love","Art Ed/Museum Ed, Art Surveys, Storytime"
Elementary (K-5),Book,How Artists See People: Boy Girl Man Woman,"Art Ed/Museum Ed, Art Surveys, Storytime"
Elementary (K-5),Book,"How Artists See Weather; Sun, Wind, Snow, Rain","Art Ed/Museum Ed, Art Surveys, Science, Storytime"
Elementary (K-5),Book,"How Artists See Work: Office, Home, Farm, Factory","Art Ed/Museum Ed, Art Surveys, Storytime"
Elementary (K-5),Book,How I Spent My Summer Vacation,"20th Century (1946-1999), Art of the West, Language Arts, Storytime"
Elementary (K-5),Book,How to Make a Cherry Pie and See the U.S.A.,"20th Century (1946-1999), Language Arts, Multicultural Topics, Storytime"
"Elementary (K-5), Middle School (6-8)",Book,How Would You Survive in the American West,"18th Century and Earlier, 19th Century (1800-1865), 19th Century (1866-1899), Art of the West, Multicultural Topics, Picturing America Resource, Storytime, Texas History"
"College/Adult, High School (9-12)",Book,Hudson River School Visions: The Landscapes of Sanford R. Gifford,"19th Century (1866-1899), Science"
"High School (9-12), College/Adult",Kit,I Am still Learning: Late Works by Masters from the National Gallery of Art,Art Surveys
"Elementary (K-5), Middle School (6-8)",Book,I Live in Music,"20th Century (1900-1945), 20th Century (1946-1999), Language Arts, Multicultural Topics, Picturing America Resource, Storytime"
"College/Adult, High School (9-12)",Book,I Tell My Heart: The Art of Horace Pippin,"20th Century (1900-1945), Artist Biography, Multicultural Topics"
"College/Adult, High School (9-12), Middle School (6-8)",Audio-Visual,I tell My Heart: The Art of Horace Pippin (VHS),"19th Century (1866-1899), 20th Century (1900-1945), Art Ed/Museum Ed, Artist Biography, Multicultural Topics"
"College/Adult, High School (9-12)",Audio-Visual,"I'll Make Me a World: A Century of African-American Arts series, Vol. 1: Lift Every Voice (1900-1924) (VHS)","20th Century (1900-1945), Art Ed/Museum Ed, Art Surveys, Multicultural Topics"
"College/Adult, High School (9-12)",Audio-Visual,"I'll Make Me a World: A Century of African-American Arts series, Vol. 2: Without Fear or Shame (1920-1937) (VHS)","20th Century (1900-1945), Art Ed/Museum Ed, Art Surveys, Multicultural Topics"
"College/Adult, High School (9-12)",Audio-Visual,"I'll Make Me a World: A Century of African-American Arts series, Vol. 3: Bright Like the Sun (1935-1954) (VHS)","20th Century (1900-1945), 20th Century (1946-1999), Art Ed/Museum Ed, Art Surveys, Multicultural Topics"
"College/Adult, High School (9-12)",Audio-Visual,"I'll Make Me a World: A Century of African-American Arts series, Vol. 4: The Dream Keepers (1940-1965) (VHS)","20th Century (1900-1945), 20th Century (1946-1999), Art Ed/Museum Ed, Art Surveys, Multicultural Topics"
"College/Adult, High School (9-12)",Audio-Visual,"I'll Make Me a World: A Century of African-American Arts series, Vol. 5: Not a Rhyme Time (1963-1986) (VHS)","20th Century (1946-1999), Art Ed/Museum Ed, Art Surveys, Multicultural Topics"
