Business,Category,Contact
,,
1. Camp Anglewood,Day,"900 Rock Lane Elkins Park, PA 19027 267-939-4455"
,,
2. Lavner Camps!,"Day, Residential",Multiple Locations PA 610-664-8800
,,
3. Abington Club Kids CampKelly Degorski,Day,"The Abington Club 300 Meetinghouse Road Jenkintown, PA 19046 215-885-0734 x113"
4. Abington Friends Day Camp and Summer Enrichment Program,Day,"575 Washington Ln. Jenkintown, PA 19046 215-576-3996"
5. AIM Academy Summer Enrichment Program,Day,"1200 River Road Conshohocken, PA 19428 215-483-2461"
6. Bala House Montessori School,"Day, Program","27 Conshohocken State Rd. Bala Cynwyd, PA 19072 610-664-6767"
,,
7. Burn Brae Day Camp of Creative Arts,Day,"1405 Twining Rd. Dresher, PA 19025 215-657-3388"
8. Camp Kef,Day,"45 Haverford Rd Kaiserman JCC Wynnewood, PA 19096 610-896-7770 X123"
,,
9. Camp Pegasus,"Day, Special Needs (Also see the SpecialKids guide.)","1400 Montgomery Ave. Rosemont College Rosemont, PA 19003 610-649-1080 ext8"
,,
10. Cheltenham Center for the Arts,Day,"439 Ashbourne Rd. Cheltenham, PA 19012 215-379-4660"
,,
