Advocacy Issues,Title
Veterans,"Income and Net Worth of Veteran Business Owners over the Business Cycle, 1989–2010"
Environmental,"5/8/15 - Comments to EPA on Convening of Panel on Federal Plan Requirements for Greenhouse Gas Emissions from Electric Utility Generating Units Constructed on or Before January 8, 2014"
"Banking Studies, Finance, Capital & Taxes",Small Business Lending in the United States 2013
"Environmental, Food, Drug & Health, Regulation, Safety & Transportation, Veterans, Wages & Benefits","The Small Business Advocate, May 2015"
"Banking Studies, Finance, Capital & Taxes",Small Business Lending in the United States 2013
"Environmental, Food, Drug & Health, Regulation, Safety & Transportation, Veterans, Wages & Benefits","The Small Business Advocate, May 2015"
Environmental,EPA proposes air emission standards for Brick Production
"Environmental, Food, Drug & Health, Regulation, Safety & Transportation, Veterans, Wages & Benefits","The Small Business Advocate, May 2015"
Environmental,EPA proposes revisions to the Ozone NAAQS
"Environmental, Food, Drug & Health, Regulation, Safety & Transportation, Veterans, Wages & Benefits","The Small Business Advocate, May 2015"
"Finance, Capital & Taxes",Small Business Tax Roundtable
"Environmental, Food, Drug & Health, Regulation, Safety & Transportation, Veterans, Wages & Benefits","The Small Business Advocate, May 2015"
Wages & Benefits,Small Business Roundtable on Employee Benefits
"Environmental, Food, Drug & Health, Regulation, Safety & Transportation, Veterans, Wages & Benefits","The Small Business Advocate, May 2015"
Technology & Innovation,"Small Innovative Company Growth—Barriers, Best Practices and Big Ideas: Lessons from the 3D Printing Industry"
Technology & Innovation,The Leahy-Smith America Invents Act: A Preliminary Examination of Its Impact on Small Businesses
Environmental,EPA requests comment to improve EPA Regulations
Banking & Finance,SEC Issues Proposal to Amend Investment Adviser Registration
"Finance, Capital & Taxes",The National Credit Union Administration Proposes Increase in Asset Threshold for Small Entities
Employment & Training,"Regional Roundtable- Louisville, KY"
Wages & Benefits,"6/24/2014 - Establishing a Minimum Wage for Contractors, Notice of Proposed Rulemaking"
Safety & Transportation,Small Business Labor Safety (OSHA/MSHA) Roundtable
Wages & Benefits,"Comments to Department of Labor Re: Definition of the Term ""Fiduciary""; Conflict of Interest Rule, Retirement Investment Advice"
Regulation,DOJ Releases Rule Requiring ADA Captioning for Movie Theaters
Employment & Training,Small Business Labor Safety (OSHA/MSHA) Roundtable
Environmental,EPA Proposes Emission Requirements for New Medium- and Heavy-Duty Vehicles
"General Small Business, Regulation",The Small Business Advocate - August 2014
Safety & Transportation,Small Business Aviation Safety Roundtable on FAA’s Proposed Small Unmanned Aircraft Systems (UAS) Rule
"General Small Business, Regulation",The Small Business Advocate - August 2014
Environmental,SBA Environmental Roundtable Meeting
