Batch,IRC Nickname,No of bugs,Query,Status
1,Jtamate,5,Query,done except 214765
2,Lemma,5,Query,done
3,stephdg,5,Query,"3 left, 225280 & 225682 done"
4,Lemma,5,Query,done
5,Lemma,5,Query,done
6,FiNeX,5,Query,done
7,FiNeX,5,Query,done
8,Lemma,5,Query,done
9,FiNeX,5,Query,done
10,Jtamate,5,Query,done
11,FiNeX,5,Query,done
12,FiNeX,5,Query,done
13,FiNeX,5,Query,done
14,FiNeX,5,Query,done
15,FiNeX,5,Query,done
16,FiNeX,5,Query,done
17,FiNeX,5,Query,done
18,FiNeX,5,Query,done
19,FiNeX,5,Query,done
20,Jtamate,5,Query,done
21,grundleborg,5,Query,done
22,FiNeX,5,Query,done
23,anselmolsm,5,Query,done
24,FiNeX,5,Query,done
25,FiNeX,5,Query,done
26,FiNeX,5,Query,done
27,FiNeX,5,Query,done
28,FiNeX,5,Query,done
29,anselmolsm,5,Query,done
30,FiNeX,2,Query,batch is empty
