city,date,state,venue
Mescalero,3/5/2011,NM,Inn of the Mountain Gods Resort and Casino
Biloxi,3/11/2011,MS,IP Casino Resort and Spa
Davie,3/13/2011,FL,The Club at Seminole Hard Rock Casino
Hollywood,3/13/2011,FL,Seminole Hard Rock Hotel & Casino
Calgary,3/18/2011,AB,Southern Alberta Jubilee Auditorium
Enoch,3/19/2011,AB,River Cree Casino
New York,3/30/2011,NY,P.C. Richard & Son Theater
New York,3/31/2011,NY,P.C. Richard & Son Theater
Mount Pleasant,4/9/2011,MI,Soaring Eagle Casino & Resort
Chandler,4/14/2011,AZ,Gila River Casino
Cabazon,4/15/2011,CA,Morongo Casino Resort and Spa
Henderson,4/29/2011,NV,Green Valley Ranch
Tucson,4/30/2011,AZ,Rialto Theatre
Panama City,5/15/2011,FL,Marina Civic Center
Valdosta,5/28/2011,GA,Wild Adventures Theme Park
Marksville,5/29/2011,LA,Paragon Casino Resort
Sandy,7/21/2011,UT,Rio Tinto Stadium
Camden,8/13/2011,NJ,Susquehanna Bank Center
Burgettstown,8/27/2011,PA,First Niagara Pavilion
Syracuse,8/30/2011,NY,NY State Fair
Dallas,9/24/2011,TX,Gexa Energy Pavilion
The Woodlands,9/25/2011,TX,The Cynthia Woods Mitchell Pavilion
Albuquerque,9/30/2011,NM,Isleta Amphitheater
Concord,10/5/2011,CA,Concord Pavilion
Chula Vista,10/7/2011,CA,Sleep Train Amphitheatre
Wheatland,10/14/2011,CA,Toyota Amphitheatre
Mountain View,10/15/2011,CA,Shoreline Amphitheatre
Rama,12/2/2011,ON,Casino Rama
Rama,12/3/2011,ON,Casino Rama
