Opponent,Player,Points,Table
THL (78),Antarctica (42),15,7
Neutral Ground SF (48),ATM (64),13,10
Utrecht (49),Brown Bomber (69),12,11
Phenomene J (41),CCC (60),15,6
Matrix (12),CMU (56),15,4
Sugar Bus (13),ECA (57),12,13
Fu-Ku-Ra-Mi (7),Fifth Again (28),12,12
Fifth Again (28),Fu-Ku-Ra-Mi (7),12,12
Your Move Games (73),Game Empire (77),18,1
Neutral Ground Detroit (29),Goblin Gate (21),15,5
The Tank (47),Lost in Spain (50),12,14
Operation Mise (19),Marc's Brothers (3),18,2
CMU (56),Matrix (12),15,4
Goblin Gate (21),Neutral Ground Detroit (29),15,5
ATM (64),Neutral Ground SF (48),13,10
"Pat Chapin and Dinosaurs, (76)",New Wave (65),10,16
Marc's Brothers (3),Operation Mise (19),16,2
The Alliance (71),Papa Smurf (54),10,15
New Wave (65),"Pat Chapin and Dinosaurs, (76)",10,16
CCC (60),Phenomene J (41),15,6
Tongo Nation (31),Shop Adept (6),16,3
TLC (1),Shpadoinkle (17),13,9
ECA (57),Sugar Bus (13),12,13
Papa Smurf (54),The Alliance (71),10,15
Lost in Spain (50),The Tank (47),12,14
Antarctica (42),THL (78),15,7
Shpadoinkle (17),TLC (1),13,9
Shop Adept (6),Tongo Nation (31),16,3
Urban Housing (62),Two Champs and a Chump (25),13,8
Two Champs and a Chump (25),Urban Housing (62),13,8
Brown Bomber (69),Utrecht (49),13,11
Game Empire (77),Your Move Games (73),21,1
