Compare Compare All,Embedded Options Available,Product Name,Recommended Customer Price,Status,TDP
Compare,No,Intel® Z77 Express Chipset (Intel® BD82Z77 PCH),T&R : $48.00,Launched,6.7 W
Compare,Yes,Intel® Q77 Express Chipset (Intel® BD82Q77 PCH),T&R : $44.00,Launched,6.7 W
Compare,No,Intel® H77 Express Chipset (Intel® BD82H77 PCH),T&R : $43.00,Launched,6.7 W
Compare,No,Intel® Q75 Express Chipset (Intel® BD82Q75 PCH),T&R : $40.00,Launched,6.7 W
Compare,Yes,Intel® B75 Express Chipset (Intel® BD82B75 PCH),T&R : $37.00,Launched,6.7 W
Compare,No,Intel® Z75 Express Chipset (Intel® BD82Z75 PCH),T&R : $40.00,Launched,6.7 W
Compare,No,Intel® Z68 Express Chipset (Intel® BD82Z68 PCH),T&R : $48.00,Launched,6.1 W
Compare,Yes,Intel® Q67 Express Chipset (Intel® BD82Q67 PCH),T&R : $44.00,Launched,6.1 W
Compare,No,Intel® Q65 Express Chipset (Intel® BD82Q65 PCH),T&R : $40.00,Launched,6.1 W
Compare,No,Intel® P67 Express Chipset (Intel® BD82P67 PCH),N/A,Launched,6.1 W
Compare,No,Intel® H67 Express Chipset (Intel® BD82H67 PCH),T&R : $43.00,Launched,6.1 W
Compare,Yes,Intel® H61 Express Chipset (Intel® BD82H61 PCH),T&R : $23.00,Launched,6.1 W
Compare,Yes,Intel® B65 Express Chipset (Intel® BD82B65 PCH),T&R : $37.00,Launched,6.1 W
