ILvl,Item,Popularity,Slot
1,Stylish Black Shirt,6 star,Shirt
1,Artisan Officer's Shirt,4 star,Shirt
1,Precious' Ribbon,4 star,Shirt
1,Thug Shirt,3 star,Shirt
1,Sleeveless T-Shirt,3 star,Shirt
1,Red Linen Shirt,3 star,Shirt
1,Dark Silk Shirt,3 star,Shirt
1,Footpad's Shirt,3 star,Shirt
1,Gilnean Adventurer's Shirt,3 star,Shirt
1,Last Season's Shirt,2 star,Shirt
1,Antiseptic-Soaked Dressing,2 star,Shirt
1,Wraps of the Blood-Soaked Brawler,2 star,Shirt
1,Captain Sanders' Shirt,2 star,Shirt
1,Black Swashbuckler's Shirt,2 star,Shirt
1,Master Builder's Shirt,2 star,Shirt
1,Ooze-Soaked Shirt,2 star,Shirt
1,Common Gray Shirt,2 star,Shirt
1,Gray Woolen Shirt,2 star,Shirt
1,White Tuxedo Shirt,1 star,Shirt
1,Tailored Officer's Shirt,1 star,Shirt
1,Undisputed Champion's Shirt,1 star,Shirt
1,Wound Dressing,1 star,Shirt
1,Undercity Doublet,1 star,Shirt
1,Sightless Mantle,1 star,Shirt
1,Orange Martial Shirt,1 star,Shirt
1,Rich Purple Silk Shirt,1 star,Shirt
1,Ebon Filigreed Doublet,1 star,Shirt
1,Gorgeous Blouse,1 star,Shirt
1,Formal White Shirt,1 star,Shirt
1,Artisan Member's Shirt,1 star,Shirt
1,Brucehide Jersey,1 star,Shirt
1,Lookout's Tunic,1 star,Shirt
1,Sawbones Shirt,1 star,Shirt
1,Stylish Red Shirt,1 star,Shirt
1,Blue Linen Shirt,1 star,Shirt
1,Red Swashbuckler's Shirt,1 star,Shirt
1,White Swashbuckler's Shirt,1 star,Shirt
1,Deckhand's Shirt,1 star,Shirt
1,Trapper's Shirt,1 star,Shirt
1,Sharkskin Tunic,1 star,Shirt
