3pt,Ast,Blk,Def,FG,FT,Min,Off,P,PF,Players,Reb,Stl,TO
0-1,1,0,0,7-15,0-1,22,3,14,4,Tia FaleruDFP,3,3,2
3-8,0,0,2,4-11,0-0,35,1,11,1,Gracie FrizzellDFP,3,0,2
1-5,4,0,3,4-13,0-0,38,1,9,4,Valencia McFarlandDFP,4,2,2
2-5,0,0,1,2-6,2-2,24,0,8,0,Maggie McFerrinDFP,1,3,1
0-1,0,1,6,1-10,3-4,30,9,5,3,Courtney MarbraDFP,15,4,0
0-1,2,0,2,1-10,2-3,19,3,4,4,Danielle McCrayDFP,5,0,1
0-1,0,0,0,1-6,0-0,10,2,2,5,Kenyotta JenkinsDFP,2,0,3
0-0,0,0,0,1-5,0-0,10,3,2,0,Monique JacksonDFP,3,0,1
0-1,2,0,3,0-1,0-0,12,0,0,0,Diara MooreDFP,3,1,2
6-23,9,1,17,21-77,7-10,,22,55,21,Totals,39,13,14
26.1%,,,,27.3%,70.0%,,,,,Percentages,,,
