1055,1085,1115,1155,Effective edge (mm)
950,975,1005,1025,Contact lenght (mm)
276,276,279,283,Nose width (mm)
236,236,239,241,Waist width (mm)
276,276,279,283,Tail width (mm)
35 - 55,40 - 60,45 - 65,50 - 70,Rider weight (Kg)
505 (19.9),520 (20.49),530 (20.88),540 (21.28),Recom stance
7,7,7.4,7.6,Side cut radius (m)
105,110,110,130,Delta
10,10,10,10,Set back
77. - 121.,88. - 132.,99. - 143.,110. - 154.,Rider weight (lbs)
230,235,240,250,Nose length (mm)
220,225,230,240,Tail length (mm)
140 / SL-BS-140A,144 / SL-BS-144E,148 / SL-BS-148D,152 / SL-BS-152F,Shape
561 (22.1),576 (22.7),586 (23.1),596 (23.5),Maxi stance
S/M,S/M,S/M,S/M,Recom Bind Size
235 / 255,235 / 265,235 / 265,245 / 275,Recom Boot Size
