%bytes,%reqs,Gbytes,browser,reqs
16.97%,7.24%,1.72,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),57308
5.89%,7.24%,0.60,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en) AppleWebKit/418.9.1 (KHTML, like Gecko) Safari/419.3",57263
2.75%,1.76%,0.28,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),13927
4.83%,6.29%,0.49,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418.9.1 (KHTML, like Gecko) Safari/419.3",49763
2.39%,1.53%,0.24,msnbot/1.0 (+http://search.msn.com/msnbot.htm),12139
1.14%,0.96%,0.12,FAST Enterprise Crawler 6 / Scirus scirus-crawler@fast.no; http://www.scirus.com/srsapp/contactus/,7617
1.55%,1.16%,0.16,msnbot-media/1.0 (+http://search.msn.com/msnbot.htm),9161
1.67%,2.08%,0.17,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en) AppleWebKit/418.8 (KHTML, like Gecko) Safari/419.3",16435
0.63%,0.58%,0.06,ConveraCrawler/0.9e (+http://www.authoritativeweb.com/crawl),4620
1.42%,1.57%,0.14,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en) AppleWebKit/418.9 (KHTML, like Gecko) Safari/419.3",12383
0.57%,0.48%,0.06,Java/1.5.0_07,3834
4.06%,4.75%,0.41,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),37582
1.74%,2.22%,0.18,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8.1 (KHTML, like Gecko) Safari/312.6",17604
0.47%,0.40%,0.05,WebVac (webmaster@pita.stanford.edu WebVac.org ),3182
1.33%,1.56%,0.13,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418.9 (KHTML, like Gecko) Safari/419.3",12310
1.49%,1.91%,0.15,Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.8.0.9) Gecko/20061206 Firefox/1.5.0.9,15112
2.39%,3.07%,0.24,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1),24296
2.42%,2.87%,0.25,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.1.1) Gecko/20061204 Firefox/2.0.0.1,22719
0.25%,0.21%,0.03,Jyxobot/1,1643
2.53%,2.74%,0.26,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322),21644
0.63%,0.23%,0.06,"Mozilla/5.0 (arianna.libero.it,ariannaadm@pisa.iol.it)",1822
0.02%,0.23%,0.00,Bloglines/3.1 (http://www.bloglines.com; 1 subscriber),1823
2.33%,2.55%,0.24,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.0.9) Gecko/20061206 Firefox/1.5.0.9,20205
1.56%,2.10%,0.16,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727),16617
0.26%,0.17%,0.03,Mozilla/2.0 (compatible; Ask Jeeves/Teoma; +http://about.ask.com/en/docs/about/webmasters.shtml),1346
0.03%,0.17%,0.00,Feedfetcher-Google; (+http://www.google.com/feedfetcher.html),1345
1.11%,1.33%,0.11,Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.8.1.1) Gecko/20061204 Firefox/2.0.0.1,10557
0.17%,0.19%,0.02,User-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),1523
0.78%,0.91%,0.08,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),7176
0.43%,0.51%,0.04,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-us) AppleWebKit/418.9.1 (KHTML, like Gecko) Safari/419.3",4037
0.32%,0.43%,0.03,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12",3387
0.18%,0.16%,0.02,Java/1.4.1_04,1237
0.14%,0.10%,0.01,FAST Enterprise Crawler 6 used by ENSCO (chenail.brett@ensco.com),796
0.37%,1.02%,0.04,Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en; rv:1.8.0.7) Gecko/20060911 Camino/1.0.3,8051
1.04%,1.10%,0.11,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1),8722
0.50%,0.58%,0.05,Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.0.9) Gecko/20061206 Firefox/1.5.0.9,4621
0.17%,0.32%,0.02,Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.7.2) Gecko/20040804 Netscape/7.2,2497
0.15%,0.34%,0.01,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/412.6.2 (KHTML, like Gecko) Safari/412.2.2",2714
0.51%,0.74%,0.05,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; InfoPath.1),5858
0.21%,0.25%,0.02,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/417.9 (KHTML, like Gecko) Safari/417.8",2002
32.59%,35.94%,3.31,"[not listed: 3,741 browsers]",284345
