,Bubbles,CRank,Role,Score,Status,Username
Send PM,3,8,Contributor,8860,,H2OAcidic
Send PM,3,5,Member,130,,haaaaaa
Send PM,3,5,Member,1480,"""from the void...""",HacSawJimThugin
Send PM,3,5,Member,110,,Hadoukameha
Send PM,3,5,Trainee,550,,hadouken007
Send PM,3,5,Member,970,,hadouken182
Send PM,3,5,Member,100,,hagerman
Send PM,3,5,Member,100,,Haioncdougal
Send PM,3,5,Member,100,,hairthinning
Send PM,3,5,Member,100,,Hajimechrono
Send PM,3,5,Trainee,130,,hajueraswe
Send PM,3,5,Member,100,,hakensm
Send PM,3,5,Contributor,3060,,Halfbloodprince
Send PM,3,5,Member,200,,HalfNerdHalfAmazing
Send PM,3,5,Contributor,850,,halo3blogs
Send PM,3,5,Contributor,8530,,halocursed
Send PM,3,5,Member,230,,HALOisKING
Send PM,3,5,Contributor,4360,,halojane9
Send PM,3,5,Contributor,490,,hamie96
Send PM,3,5,Trainee,3170,,hammad412
