Class,Discipline,Grade,Results,Type
2.4 Metre,Fleet racing,1,Overall Results Race Results,Disabled
470,Fleet racing,200,Overall Results Race Results,Men
470,Fleet racing,200,Overall Results Race Results,Women
49er,Fleet racing,200,Overall Results Race Results,Men
49erFX,Fleet racing,200,Overall Results Race Results,Women
Finn,Fleet racing,200,Overall Results Race Results,Men
Laser,Fleet racing,200,Overall Results Race Results,Men
Laser Radial,Fleet racing,200,Overall Results Race Results,Women
Nacra 17,Fleet racing,200,Overall Results Race Results,Mixed
RS:X,Fleet racing,200,Overall Results Race Results,Men
RS:X,Fleet racing,200,Overall Results Race Results,Women
