Applicant,Citing Patent,Filing date,Publication date,Title
Mcnemar Glenn A,US4877167 *,"Jun 10, 1988","Oct 31, 1989",Retention system for diver accessories
"U.S. Divers Company, Inc.",US4913589 *,"Aug 17, 1988","Apr 3, 1990",Diver's buoyancy compensator and backpack with independent suspension
Walters William D,US4952095 *,"Dec 14, 1988","Aug 28, 1990",Soft backpack for scuba diver air tanks
"Soniform, Inc.",US4990115 *,"Jun 22, 1989","Feb 5, 1991",Buoyancy compensator with expandable cummerbund and auxiliary harness
"Soniform, Inc.",US5011334 *,"Jun 22, 1989","Apr 30, 1991",Buoyancy compensator with interchangeable accessories
"Soniform, Inc.",US5046894 *,"Jul 12, 1990","Sep 10, 1991",Buoyancy compensator with interchangeable backpack and commerbund
Scannell Jr Robert F,US5057046 *,"Mar 30, 1990","Oct 15, 1991",Flotation device peripheral system
"Soniform, Inc.",US5249890 *,"Jan 31, 1992","Oct 5, 1993",Modular backpack assembly and buoyancy compensator
Walters; William D.,US5378084 *,"Mar 24, 1994","Jan 3, 1995",Backpack systems
"Sea Quest, Inc.",US5385496 *,"Apr 7, 1993","Jan 31, 1995",Buoyancy compensator with lateral expansion and method therefor
Walters; William D.,US5403123 *,"Jul 29, 1992","Apr 4, 1995","Gas impermeable, elastically deformable laminate and inflatable articles formed therefrom"
The Natural Balance Design Co.,US5497922 *,"May 25, 1994","Mar 12, 1996",Counter balance pockets with frame for backpacks
Dacor Corporation,US5522679 *,"Jun 2, 1994","Jun 4, 1996",Buoyancy compensator having attached backpack
Rose; Richard H.,US5542446 *,"Aug 8, 1995","Aug 6, 1996",Scuba buoyancy control valve
Walters; William D.,US5693412 *,"Jul 7, 1994","Dec 2, 1997","Gas impermeable, elastically deformable laminate and inflatable articles formed therefrom"
Carmichael; Robert M.,US5746542 *,"Nov 17, 1995","May 5, 1998",Drop weight dive belt
French; Cynthia M.,US5855497 *,"Mar 19, 1998","Jan 5, 1999",Life jacket with flexible life line
Johnson Worldwide Associates,US5902073 *,"Jan 8, 1997","May 11, 1999",Equipment support garment for divers
Mary Annette Pearcey,US6427697,"Dec 8, 1998","Aug 6, 2002",Belt and method for increasing comfort and reducing back pain while lying down
Johnson Outdoors Inc.,US6527480 *,"Jul 26, 2001","Mar 4, 2003",Buoyancy compensator weight system
Robert Manuel Carmichael,US6881011 *,"Jan 23, 2002","Apr 19, 2005","Buoyancy compensator, utility backpack, transport harness or like garment with adjustable one size component for use by a wide range of individuals"
Robert Patrick Hart,US6923177 *,"Feb 16, 2001","Aug 2, 2005",Underwater breathing device
"Tabata Co., Ltd.",US6966726 *,"Oct 1, 2004","Nov 22, 2005",Buoyancy compensator
"Steams, Inc.",US7014520,"Nov 14, 2003","Mar 21, 2006",Internal body encircling belt for personal floatation devices
"Trebor Industries, Inc.",US7458751,"Dec 5, 2000","Dec 2, 2008",Active control releasable ballast system for use with dive equipment
Robert Manuel Carmichael,US7465125 *,"Apr 18, 2005","Dec 16, 2008","Buoyancy compensator, utility backpack, transport harness or like garment with adjustable one size component for use by a wide range of individuals"
Haruo Kawashima,US20050074295 *,"Oct 1, 2004","Apr 7, 2005",Buoyancy compensator
Johnson Jean E.,US20050106962 *,"Nov 14, 2003","May 19, 2005",Internal body encircling belt for personal floation devices
Moon Y. Choi,EP0526377A1 *,"Jul 20, 1992","Feb 3, 1993",Vest for diving with a snorkel
Carmichael Robert M,WO2002010012A1 *,"Jul 27, 2001","Feb 7, 2002",Active control releasable ballast system for use with dive equipment
