Coe,Cornell,Statistics
19,15,FIRST DOWNS
13 5 1,6 9 0,Passing Rushing Penalty
31% (5 of 16),29% (5 of 17),THIRD DOWN EFFICIENCY
100% (2 of 2),100% (1 of 1),FOURTH DOWN EFFICIENCY
453,287,TOTAL OFFENSE
74 6.1,70 4.1,Total Offensive Plays Average gain per play
342,114,NET YARDS PASSING
21-29 11.8 3-16 0,16-31 3.7 3-7 3,Completions-Attempts Net yards per pass play Sacked: Number-Yards Had intercepted
111,173,NET YARDS RUSHING
45 2.5,39 4.4,Rushing Attempts Average gain per rush
5-174,9-315,PUNTS: Number-Yards
34.8,35.0,Average
148,132,TOTAL RETURN YARDS
8-47 1-21 3-80,1-17 7-115 0 0,Punt Returns: Number-Yards Kickoff Returns: Number-Yards Interception Returns: Number-Yards
4-25,2-10,PENALTIES: Number-Yards
3-1,5-2,FUMBLES: Number-Lost
3-7,3-16,SACKS: Number-Yards
3-80,0 0,INTERCEPTIONS: Number-Yards
32:00,28:00,TIME OF POSSESSION
