,List Price,No.,Part #,Part # / Description,Price
,$94.78,1,36162-RW0-A01,"36162-RW0-A01 / VALVE ASSY., PURGE CONTROL SOLENOID",$68.24
,$36.28,2,36163-RW0-A00,"36163-RW0-A00 / STAY, PURGE CONTROL SOLENOID",$26.12
,$15.57,3,36166-RW0-A02,"36166-RW0-A02 / JOINT, PURGE",$11.21
,$8.17,4,36167-RW0-A00,"36167-RW0-A00 / TUBE A, PURGE",$5.88
,$1.78,5,36168-RAD-L10,"36168-RAD-L10 / CLIP, PURGE",$1.28
,$8.17,6,36168-RW0-A00,"36168-RW0-A00 / TUBE B, PURGE",$5.88
,$4.00,7,36169-R70-A00,"36169-R70-A00 / PIPE, PURGE",$2.88
,$12.97,8,36169-RW0-A00,"36169-RW0-A00 / PIPE, PURGE",$9.34
,$8.17,9,36171-RW0-A00,"36171-RW0-A00 / TUBE C, PURGE",$5.88
,$11.13,10,36172-RW0-A00,"36172-RW0-A00 / TUBE D, PURGE",$8.02
,$1.32,11,91402-SDC-000,"91402-SDC-000 / CLIP, TUBE (B12)",$0.95
,$1.77,12,91406-SAA-000,"91406-SAA-000 / CLAMP, TUBE (D12)",$1.27
,$2.27,13,91408-SDB-000,"91408-SDB-000 / CLAMP, TUBE (D13.0)",$1.63
,$0.90,14,93403-05014-08,93403-05014-08 / BOLT-WASHER (5X14),$0.65
,$1.08,15,93406-08020-08,93406-08020-08 / BOLT-WASHER (8X20),$0.78
,$1.03,16,95701-06012-08,"95701-06012-08 / BOLT, FLANGE (6X12)",$0.74
,$1.02,17,95701-06025-08,"95701-06025-08 / BOLT, FLANGE (6X25)",$0.73
