Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (million),Written by
Paris Barclay,1,54,"September 11, 2012 (2012-09-11)",5WAB01,"""Sovereign""",5.37[45],Kurt Sutter
Peter Weller,2,55,"September 18, 2012 (2012-09-18)",5WAB02,"""Authority Vested""",4.17[46],Regina Corrado
Adam Arkin,3,56,"September 25, 2012 (2012-09-25)",5WAB03,"""Laying Pipe""",3.80[47],Kem Nunn & Liz Sagal & Kurt Sutter
Paris Barclay,4,57,"October 2, 2012 (2012-10-02)",5WAB04,"""Stolen Huffy""",4.60[48],Chris Collins
Gwyneth Horder-Payton,5,58,"October 9, 2012 (2012-10-09)",5WAB05,"""Orca Shrugged""",4.34[49],Regina Corrado & Kurt Sutter
Adam Arkin,6,59,"October 16, 2012 (2012-10-16)",5WAB06,"""Small World""",4.03[50],Roberto Patino
Peter Weller,7,60,"October 23, 2012 (2012-10-23)",5WAB07,"""Toad's Wild Ride""",4.30[51],Kurt Sutter & Chris Collins
Karen Gaviola,8,61,"October 30, 2012 (2012-10-30)",5WAB08,"""Ablation""",4.58[52],Mike Daniels
Billy Gierhart,9,62,"November 6, 2012 (2012-11-06)",5WAB09,"""Andare Pescare""",3.96[53],Liz Sagal & Kurt Sutter
Guy Ferland,10,63,"November 13, 2012 (2012-11-13)",5WAB10,"""Crucifixed""",4.58[54],Kem Nunn
Paris Barclay,11,64,"November 20, 2012 (2012-11-20)",5WAB11,"""To Thine Own Self""",4.23[55],Mike Daniels & John Barcheski & Kurt Sutter
Peter Weller,12,65,"November 27, 2012 (2012-11-27)",5WAB12,"""Darthy""",4.25[56],Chris Collins & Kurt Sutter
Kurt Sutter,13,66,"December 4, 2012 (2012-12-04)",5WAB13,"""J'ai Obtenu Cette""",4.66[57],Kurt Sutter & Chris Collins
