,Last post,Replies,Topic / Topic starter
Normal topic,"by daveh75 Mon, 2013-11-18 20:18",6,"BBC 3/CBBC HD now testing by daveh75 » Mon, 2013-11-18 13:59"
Normal topic,"by Joe Cox Mon, 2013-11-18 11:01",7,"Netflix on virgin tivo by 3937edwards » Sun, 2013-11-17 12:45"
Normal topic,"by daveh75 Mon, 2013-11-18 00:08",0,"BBC 4/Cbeebies HD now testing (on dsat) by daveh75 » Sun, 2013-11-17 23:55"
Normal topic,"by daveh75 Fri, 2013-11-15 10:32",1,"Humax HDR-1010S/1TB Clicks and Pops by Theo » Fri, 2013-11-15 09:14"
Hot topic,"by Son_of_SJ Wed, 2013-11-13 16:53",15,"BT Sport wins Champions League rights by John Duncan » Sat, 2013-11-09 14:43"
Normal topic,"by The_Lhc Tue, 2013-11-12 11:09",4,"Letter / email from Sky - HD Box issue by psurquhart » Tue, 2013-11-12 10:33"
Normal topic,"by shooter Mon, 2013-11-11 18:43",2,"BT Sport now available to Plusnet Subscribers (with a Sky box) by daveh75 » Thu, 2013-10-10 16:23"
Normal topic,"by trj007 Thu, 2013-11-07 01:10",1,"samsung pvr bd-dt 7800 by alljacque » Wed, 2013-11-06 21:44"
Normal topic,"by bigboss Tue, 2013-11-05 17:35",5,"SAMSUNG AWARD WINNER by swiftmick » Sun, 2013-11-03 16:12"
Hot topic,"by The_Lhc Mon, 2013-11-04 15:05",17,"LG Freesat TV doesn't receive any channels. (Page: 1, 2) by The_Lhc » Fri, 2013-05-31 22:35"
Hot topic,"by landzw Fri, 2013-10-25 16:20",18,"Leaving Sky, Now need new PVR box (Page: 1, 2) by landzw » Fri, 2013-10-04 16:35"
Normal topic,"by blackflash52 Wed, 2013-10-23 17:33",2,"Sky Sports 1HD sound issues by blackflash52 » Mon, 2013-10-21 19:51"
Normal topic,"by scatmanben Fri, 2013-10-18 16:58",6,"Sky & Freeview tuning by rs6mra » Thu, 2013-10-17 12:44"
Normal topic,"by MrW Wed, 2013-10-16 20:24",3,"Sky HD box in a different location to the TV it feeds... by MrW » Sat, 2013-09-28 16:23"
Normal topic,"by rocketrazor Fri, 2013-10-04 17:02",1,"BBC1 DD sound issue by RobinKidderminster » Sun, 2013-09-29 08:44"
Normal topic,"by Alantiggger Wed, 2013-10-02 12:33",8,"bt sport coming to virgin anytime soon ?? by axel1970 » Thu, 2013-07-18 16:51"
Normal topic,"by roger06 Fri, 2013-09-27 14:45",5,"Sky Now TV box without Sky? by roger06 » Sat, 2013-09-07 10:53"
Normal topic,"by simonlewis Wed, 2013-09-25 10:58",8,"What are you looking forward to on TV? by chebby » Sun, 2013-08-25 18:13"
Normal topic,"by Triggy Sun, 2013-09-22 20:04",5,"How do I record from Samsung smart TV with freesat HD? by Triggy » Sun, 2013-09-22 08:01"
Normal topic,"by Big Aura Mon, 2013-09-16 16:24",0,"4 on Demand & Netflix via laptop, and Freesat by Big Aura » Mon, 2013-09-16 16:24"
Normal topic,"by psurquhart Sun, 2013-09-15 13:40",8,"Sky 2TB box reliability by jog3004 » Sat, 2013-09-14 14:49"
Normal topic,"by chebby Fri, 2013-09-13 09:24",2,"HUMAX HDR FOX-T2 dissappointed. by SiUK » Wed, 2013-09-11 16:50"
Normal topic,"by BIGBERNARDBRESSLAW Thu, 2013-09-12 21:20",4,"Film4 HD Now on sky by sonycentre » Mon, 2013-09-02 20:38"
Normal topic,"by daveh75 Fri, 2013-09-06 23:17",1,"Connecting Sky Multiroom HD box to amplifierHi by rothlee » Fri, 2013-09-06 22:56"
Normal topic,"by abacus Sun, 2013-09-01 18:46",8,"Please could someone explain this picture problem? by Key_to_the_universe » Sun, 2013-09-01 11:31"
