,#,Hits,Poem Title,Posts
0%,1,28,A Brown Girl Dead,0
0%,2,26,For A Lady I Know,0
0%,3,28,For A Poet,0
0%,4,20,From The Dark Tower,0
0%,5,15,Fruit Of The Flower,0
0%,6,26,Harlem Wine,0
0%,7,44,Heritage,0
0%,8,32,I Have A Rendezvous With Life,0
0%,9,11,In Memory Of Col. Charles Young,0
0%,10,78,Incident,0
0%,11,2,Karenge Ya Marenge,0
0%,12,12,Lines To My Father,0
0%,13,19,Saturday's Child,0
0%,14,9,She Of The Dancing Feet Sings,0
0%,15,6,Simon The Cyrenian Speaks,0
0%,16,6,Song In Spite Of Myself,0
0%,17,20,Tableau,0
0%,18,2,That Bright Chimeric Beast,0
0%,19,20,The Loss Of Love,0
0%,20,17,The Shroud Of Color,0
0%,21,17,The Wise,0
0%,22,2,Thoughts In A Zoo,0
0%,23,10,To A Brown Boy,0
0%,24,5,To Certain Critics,0
0%,25,2,"To John Keats, Poet, At Spring Time",0
0%,26,6,Uncle Jim,0
0%,27,17,Yet Do I Marvel,0
0%,28,1,Youth Sings A Song Of Rosebuds,0
,,481,Total,0
,,17.2,Average,0.0
