,Genre,Series Title (Click for series info),Year
,"Romance, Shoujo",Chu Shichatta!?... Tomodachi to!,2013
,"Romance, Shoujo",Cosplay Danshi Zukan,2010
,"Comedy, Romance, School Life, Shoujo",Defense Bakari no Koi ja dame!,2012
,,Gyuu!! - Kare no Koto ga Suki Sugite Komacchau!,2013
,"Romance, School Life, Shoujo",Hatsukoi no Itazura,2011
,"Romance, School Life, Shoujo","Houkago, Kimi to Koi o Shite.",2010
,"Comedy, Romance, School Life, Shoujo",How to Get a Guy Sorted by Blood Type,2009
,"Romance, School Life, Shoujo",Inu Jikan,2008
,"Romance, Shoujo","Joshi Kousei de, Hanayome de.",2012
,"Romance, School Life, Shoujo","Kaichou, Suki tte Itte mo Ii desu ka?",2013
,"Romance, Shoujo",Kedamono - Kemono Danshi no Amai Wana,2012
,"Comedy, Romance, School Life, Shoujo",Koakuma Lion,2010
,,"Koi, Binkan.",2014
,"Harem, Romance, School Life, Shoujo",Koibito wa Doukyonin,2010
,"Romance, School Life, Shoujo",Lingerie Logic,2011
,"Drama, Romance, School Life, Shoujo",Ongaku no Jikan,2013
,"Comedy, Drama, Romance, School Life, Shoujo",Ouchi e Kaerou,2007
,"Comedy, Romance, Shoujo",Papa to Mama Hajimemashita.,2011
,"Comedy, Harem, Romance, School Life, Shoujo",Sorairo Koiiro,2008
,Shoujo,Taro-kun wa Kou Miete Igai to xxx Desu.,2014
