Activity,Level,Points,Points for miscellaneous,Points for posts,Points for threads,Points for user,Reputation,User Name
0%,46,"22,602",0,"5,825","15,525","1,251",10,Philips - Ina
0%,29,"9,766",0,"2,208","6,618",940,10,Philips - Benedickte
0%,29,"9,579",0,"1,603","7,469",507,10,Philips  Johann
0%,12,"1,897",0,0,0,"1,897",10,test_user
0%,11,"1,838",0,0,0,"1,838",10,sietskesijbrandi
0%,11,"1,838",0,0,0,"1,838",10,marktullemans
0%,11,"1,838",0,0,0,"1,838",10,karinroozen
0%,11,"1,838",0,0,0,"1,838",10,dannycoppens
0%,11,"1,838",0,0,0,"1,838",10,marijndamstra
0%,13,"2,250",0,6,432,"1,811",10,Robert Jansen
0%,12,"1,874",0,2,60,"1,811",10,emielrijswijk
0%,11,"1,824",0,6,3,"1,815",10,Ilse de Rooi
0%,11,"1,810",0,0,0,"1,810",10,Ramya
0%,11,"1,803",0,0,0,"1,803",10,Rob vd Ven
0%,15,"2,856",0,38,977,"1,841",10,peu306cabrio
0%,12,"2,068",0,92,116,"1,860",10,JuAn
0%,12,"1,935",0,12,123,"1,799",10,IceDragon
0%,12,"1,881",0,52,31,"1,797",10,Samsonite
0%,12,"1,936",0,6,133,"1,797",10,joost
0%,11,"1,805",0,6,1,"1,797",10,Tim
0%,16,"3,326",0,235,869,"2,222",10,DellUser
0%,16,"3,306",0,195,"1,315","1,795",10,JohnnyQ
0%,11,"1,788",0,0,0,"1,788",10,MisterT
0%,11,"1,787",0,0,0,"1,787",10,Formaad
0%,11,"1,835",0,2,35,"1,797",10,Brico
0%,11,"1,795",0,0,0,"1,795",10,Karin
0%,11,"1,785",0,0,0,"1,785",10,Floris
0%,12,"1,906",0,2,119,"1,785",10,guilherme
0%,11,"1,783",0,0,0,"1,783",10,Philipsfan
0%,11,"1,826",0,6,4,"1,816",10,Cobalt
