,Category,Date available,Name,Photo,Primary source,Projects
167,Blanket,August 2011,A Harvest of Friends,,Happy Yellow House,8
216,Blanket,January 2008,Amish Baskets Quilt,,Happy Yellow House,8
350,Blanket,2008,Amish Star Crochet Lapghan,,Happy Yellow House,12
150,Blanket,August 2011,Arqylesque,,Happy Yellow House,4
91,Blanket,August 2011,Art Deco Crochet Quilt,,Happy Yellow House,2
210,Blanket,August 2011,Ava-Lynn Baby Blanket,,Happy Yellow House,6
328,Blanket,2007,Baby Baubles Baby Blanket,,Happy Yellow House,25
681,Blanket,August 2011,Baby Blocks Crochet Quilt,,Happy Yellow House,17
195,Blanket,2007,Baby Gingham,,Happy Yellow House,16
177,Blanket,August 2011,Becky's Blocks Afghan,,Happy Yellow House,8
79,Blanket,August 2011,Big Top Crochet Quilt,,Happy Yellow House,
320,Blanket,2000,Blackford's Beauty Crochet Quilt,,Happy Yellow House,5
566,Blanket,2002,Casablanca Crochet Quilt,,Happy Yellow House,32
69,Home,August 2011,CD & DVD Gift Bags,,Happy Yellow House,1
196,Blanket,November 2008,Clay's Choice Crochet Quilt,,Happy Yellow House,5
186,Blanket,August 2011,Country Check Crochet Quilt,,Happy Yellow House,5
161,Blanket,February 2008,Country Hearts Crochet Quilt,,Happy Yellow House,1
160,Blanket,2000,County Fair Crochet Quilt,,Happy Yellow House,3
60,Blanket,February 2008,Criss Cross,,Happy Yellow House,
165,Toys,August 2001,Crochet Scarecrow Doll,,Happy Yellow House,8
97,Blanket,August 2011,Cuddles Cuddle Quilt,,Happy Yellow House,1
375,Bag,2007,Daisy Duffle Bag,,Happy Yellow House,18
865,Blanket,April 2009,Desert Star Crochet Quilt,,Happy Yellow House,20
89,Blanket,August 2011,Diamonds and Wheels Crochet Quilt,,Happy Yellow House,
88,Blanket,2007,Do-Si-Do Lapghan,,Happy Yellow House,4
