Biotype,CCDS,Flags,Name,Protein,RefSeq,Transcript ID,Translation ID,UniProt,bp
Genes and/or transcript that contains an open reading frame (ORF).Protein coding,CCDS10472,"Transcript Support Level 1, when transcripts are supported by at least one non-suspect mRNA.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:1The GENCODE set is the gene set for human and mouse. GENCODE Basic is a subset of representative transcripts (splice variants).GENCODE basicPRINCIPAL1 - APPRIS candidate principal isoform.APPRIS is a system to annotate alternatively spliced transcripts based on a range of computational methods.APPRIS P1",PDPK1-001,556aa,NM_002613 NP_002604,ENST00000342085,ENSP00000344220,O15530,7241
Genes and/or transcript that contains an open reading frame (ORF).Protein coding,CCDS10473,"Transcript Support Level 1, when transcripts are supported by at least one non-suspect mRNA.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:1The GENCODE set is the gene set for human and mouse. GENCODE Basic is a subset of representative transcripts (splice variants).GENCODE basic",PDPK1-002,429aa,NM_031268 NP_112558,ENST00000268673,ENSP00000268673,O15530,4728
Genes and/or transcript that contains an open reading frame (ORF).Protein coding,CCDS58411,"Transcript Support Level 1, when transcripts are supported by at least one non-suspect mRNA.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:1The GENCODE set is the gene set for human and mouse. GENCODE Basic is a subset of representative transcripts (splice variants).GENCODE basic",PDPK1-013,454aa,NM_001261816 NP_001248745,ENST00000441549,ENSP00000395357,O15530,1729
Genes and/or transcript that contains an open reading frame (ORF).Protein coding,-,"Transcript Support Level 2, when transcripts are supported by multiple ESTs or by an mRNA flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:2The GENCODE set is the gene set for human and mouse. GENCODE Basic is a subset of representative transcripts (splice variants).GENCODE basic",PDPK1-003,529aa,-,ENST00000389224,ENSP00000373876,E9PER6,2416
Genes and/or transcript that contains an open reading frame (ORF).Protein coding,-,"3' truncation in transcript evidence prevents annotation of the end of the CDS.CDS 3' incompleteTranscript Support Level 3, when transcripts are supported by a single EST only.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:3",PDPK1-008,149aa,-,ENST00000461815,ENSP00000455551,H3BQ10,611
Genes and/or transcript that contains an open reading frame (ORF).Protein coding,-,"3' truncation in transcript evidence prevents annotation of the end of the CDS.CDS 3' incompleteTranscript Support Level 3, when transcripts are supported by a single EST only.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:3",PDPK1-015,88aa,-,ENST00000566659,ENSP00000455492,H3BPW1,451
"Transcript is thought to undergo nonsense mediated decay, a process which detects nonsense mutations and prevents the expression of truncated or erroneous proteins. Nonsense mediated decay",-,"Transcript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5",PDPK1-006,35aa,-,ENST00000474706,ENSP00000455025,H3BNV5,699
"Transcript is thought to undergo nonsense mediated decay, a process which detects nonsense mutations and prevents the expression of truncated or erroneous proteins. Nonsense mediated decay",-,"Transcript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5",PDPK1-007,55aa,-,ENST00000492021,ENSP00000455684,H3BQA3,552
"Transcript is thought to undergo nonsense mediated decay, a process which detects nonsense mutations and prevents the expression of truncated or erroneous proteins. Nonsense mediated decay",-,"5' truncation in transcript evidence prevents annotation of the start of the CDS.CDS 5' incompleteTranscript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5",PDPK1-012,40aa,-,ENST00000478708,ENSP00000455438,H3BPR5,445
Transcripts that don't contain an open reading frame (ORF) and cannot be placed in one of the other categories.Processed transcript,-,"Transcript Support Level 3, when transcripts are supported by a single EST only.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:3",PDPK1-011,No protein,-,ENST00000471311,-,-,621
Transcripts that don't contain an open reading frame (ORF) and cannot be placed in one of the other categories.Processed transcript,-,"Transcript Support Level 4, for transcripts supported by an EST flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:4",PDPK1-017,No protein,-,ENST00000561962,-,-,570
Transcripts that don't contain an open reading frame (ORF) and cannot be placed in one of the other categories.Processed transcript,-,"Transcript Support Level 4, for transcripts supported by an EST flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:4",PDPK1-009,No protein,-,ENST00000460496,-,-,569
Transcripts that don't contain an open reading frame (ORF) and cannot be placed in one of the other categories.Processed transcript,-,"Transcript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5",PDPK1-016,No protein,-,ENST00000462923,-,-,550
Transcripts that don't contain an open reading frame (ORF) and cannot be placed in one of the other categories.Processed transcript,-,"Transcript Support Level 2, when transcripts are supported by multiple ESTs or by an mRNA flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:2",PDPK1-010,No protein,-,ENST00000464702,-,-,511
Transcripts that don't contain an open reading frame (ORF) and cannot be placed in one of the other categories.Processed transcript,-,"Transcript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5",PDPK1-018,No protein,-,ENST00000569721,-,-,330
Alternatively spliced transcript that is believed to contain intronic sequence relative to other coding transcripts in a given locus.Retained intron,-,"Transcript Support Level 1, when transcripts are supported by at least one non-suspect mRNA.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:1",PDPK1-005,No protein,-,ENST00000491073,-,-,2387
Alternatively spliced transcript that is believed to contain intronic sequence relative to other coding transcripts in a given locus.Retained intron,-,"Transcript Support Level 2, when transcripts are supported by multiple ESTs or by an mRNA flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:2",PDPK1-014,No protein,-,ENST00000570136,-,-,1125
