Guild,Time (GMT),realm,region,world
Spiters,"Jan 12, 2011 22:30",1,1,83
Augure,"Feb 17, 2011 22:44",2,1,413
Refuge,"Apr 4, 2011 19:45",3,1,1690
Mohr,"Apr 6, 2011 21:16",4,1,1741
BossBusters,"May 3, 2011 20:31",5,1,2489
Nemesis,"May 12, 2011 20:30",6,1,2910
Obviam Dei,"May 26, 2011 21:43",7,1,3535
Fureur,"Jun 1, 2011 21:15",8,1,3734
Radical,"Jun 20, 2011 21:32",9,1,4331
Ombres et Chaos,"Jul 24, 2011 19:36",10,1,4648
Phöenix,"Sep 11, 2011 20:23",11,1,5411
I Legacy I,"Nov 13, 2011 21:10",12,1,6735
Rumeur,"Nov 20, 2011 22:52",13,1,6870
