BITCH PTS,BREED,CITY,DATE,DOG PTS,ENTRY,SHOW,STATE
,Port Water Dogs,W Springfield,03/14/09,,,Connecticut River Working Group Association,MA
,Port Water Dogs,W Springfield,03/14/09,,,Connecticut River Working Group Association,MA
1,Port Water Dogs,Wildwood,02/02/11,0,17,"Union County Kennel Club, Inc.",NJ
,Port Water Dogs,Indianapolis,02/12/11,,,"Central Indiana Kennel Club, Inc.",IN
0,Port Water Dogs,Stormville,07/23/11,1,6,"Putnam Kennel Club, Inc.",NY
3,Port Water Dogs,W Springfield,08/26/11,1,12,Elm City Kennel Club,MA
,Port Water Dogs,Canton,10/16/11,,,Tyler Texas Kennel Club,TX
,Port Water Dogs,Buena,10/22/11,,,"Gloucester County Kennel Club, Inc.",NJ
,Port Water Dogs,Chino,04/28/12,,,"Lake Mathews Kennel Club, Inc.",CA
2,Port Water Dogs,N Stonington,05/11/12,1,11,St. Hubert Kennel Club,CT
,Port Water Dogs,Coeur D'Alene,07/14/12,,,"Inland Empire Kennel Association, Inc.",ID
1,Port Water Dogs,Yaphank,07/14/12,1,7,"Riverhead Kennel Club, Inc.",NY
,Port Water Dogs,Centre Hall,07/19/12,,,Chambersburg Area Kennel Club,PA
0,Port Water Dogs,Greensboro,08/16/12,1,6,"Danville Kennel Club, Inc.",NC
,Port Water Dogs,Jackson,09/15/12,,,Mississippi State Kennel Club,MS
,Port Water Dogs,St James,09/29/12,,,"Suffolk County Kennel Club, Inc.",NY
,Port Water Dogs,Tucson,11/09/12,,,Madera Canyon Kennel Club,AZ
1,Port Water Dogs,Birch Run,04/27/13,1,12,"Progressive Dog Club Of Wayne County, Inc. (BREED/OBED #1)",MI
,Port Water Dogs,Southaven,08/18/13,,,"Memphis Kennel Club, Inc.",MS
,Port Water Dogs,Houston,11/10/13,,,Cypress Creek Kennel Club Of Texas,TX
1,Port Water Dogs,Worcester,11/30/13,1,14,Worcester County Kennel Club,MA
1,Port Water Dogs,Warwick,04/13/14,2,9,"Rhode Island Kennel Club, Inc.",RI
,Port Water Dogs,Apalachin,08/14/14,,,"Susque-nango Kennel Club, Inc.",NY
1,Port Water Dogs,Prospect,09/20/14,0,11,"Butler County Kennel Club, Inc.",PA
,Port Water Dogs,Wildwood,01/30/15,,,Sand And Sea Kennel Club,NJ
,Port Water Dogs,Lakeland,02/14/15,,,Lakeland Winter Haven Kennel Club,FL
,,,,,,,
