Exclusive Software,Hardware& Driver,Model name,Remarks
No,Yes,AX-Synth,Compatible with the original driver came with Windows 8. * Compatible driver here. Exclusive Software: AX-Synth Editor: Cannot work
No,Yes,Fantom-G6 Fantom-G7 Fantom-G8,Driver: Compatible driver here. Exclusive Software: stand-alone Fantom-G Editor: Sorry but it is out of support. Fantom-G Librarian: Sorry but it is out of support. plug-in Fantom-G Editor: Cannot work
No,Yes,Fantom-X6 Fantom-X7 Fantom-X8,Driver: Compatible driver here. * Fantom-X6/7/8 Audio Track Expansion version only (Ver.1.xx is not supported). Exclusive Software: Fantom-X Editor: Sorry but it is out of support. Fantom-X Librarian: Sorry but it is out of support. Fantom-X Sample Converter: Sorry but it is out of support.
No,Yes,Fantom-XR,Driver: Compatible driver here. * Fantom-XR Sample Tools Expansion version only (Ver.1.xx is not supported). Exclusive Software: Fantom-X Editor: Sorry but it is out of support. Fantom-X Librarian: Sorry but it is out of support. Fantom-X Sample Converter: Sorry but it is out of support.
-,Yes,GAIA SH-01,Driver: Compatible driver here.
No,Yes,GW-8,Driver: Compatible driver here. Exclusive Software: GW-8 Playlist Editor: Sorry but it is out of support. GW-8 Style Converter: Sorry but it is out of support.
Yes,Yes,INTEGRA-7,Driver: Compatible driver here. Exclusive Software: INTEGRA-7 Motional Surround Editor: Compatible with Ver.1.00 or later.
No,Yes,JUNO-Di,Driver: Compatible driver here. Exclusive Software: JUNO-Di Editor/Librarian: Sorry but it is out of support. Playlist Editor: Sorry but it is out of support.
No,Yes,JUNO-G,Driver: Compatible driver here. Exclusive Software: JUNO-G Editor/Librarian: Sorry but it is out of support.
-,Yes,JUNO-Gi,Driver: Compatible driver here.
No,Yes,JUNO-STAGE,Driver: Compatible driver here. Exclusive Software: JUNO-STAGE Editor/Librarian: Sorry but it is out of support. Playlist Editor: Sorry but it is out of support.
Yes,Yes,JUPITER-50,Driver: Compatible driver here. Exclusive Software: JUPITER-50 Control Surface Plug-in for SONAR: Compatible application here.
Yes,Yes,JUPITER-80,Driver: Compatible driver here. Exclusive Software: JUPITER-80 Control Surface Plug-in for SONAR: Compatible application here.
-,Yes,Lucina AX-09,Driver: Compatible driver here.
No,Yes,SH-201,Driver: Compatible driver here. Exclusive Software: stand-alone SH-201 Editor/Librarian: Sorry but it is out of support. plug-in SH-201 Editor : Cannot work
No,Yes,SonicCell,Driver: Compatible driver here. Exclusive Software: stand-alone SonicCell Editor/Librarian: Sorry but it is out of support. SonicCell Playlist Editor: Sorry but it is out of support. plug-in SonicCell Editor : Cannot work
No,Yes,V-Synth GT,Driver: Compatible driver here. Exclusive Software: V-Synth GT Librarian: Sorry but it is out of support.
