Date,Event type,Title/Location
24 Jun. 2015 - 25 Jun. 2015,Defence Ministers Meeting,Meetings of NATO Ministers of Defence Brussels (Belgium)
20 May. 2015 - 21 May. 2015,conference,"173rd Military Committee in Chiefs of Defence Session NATO HQ, Brussels, (Belgium)"
13 May. 2015 - 14 May. 2015,Foreign Ministers Meeting,Foreign Ministers Meetings Antalya (Turkey)
5 Feb. 2015,Defence Ministers Meeting,"Defence Ministers Meetings - Brussels NATO HQ, (Brussels)"
21 Jan. 2015 - 22 Jan. 2015,conference,"172nd Military Committee in Chiefs of Defence Session NATO HQ, Brussels (Belgium)"
2 Dec. 2014,Foreign Ministers Meeting,"Foreign Ministers Meetings - Brussels NATO HQ, (Brussels)"
19 Sep. 2014 - 21 Sep. 2014,conference,"NATO Military Committee Conference - Vilnius, Lithuania Vilnius, (Lithuania)"
4 Sep. 2014 - 5 Sep. 2014,Summit,"NATO Wales Summit 2014 Wales, (United Kingdom)"
24 Jun. 2014 - 25 Jun. 2014,Foreign Ministers Meeting,"Meeting of NATO Ministers of Foreign Affairs NATO HQ, Brussels (Belgium)"
3 Jun. 2014 - 4 Jun. 2014,Defence Ministers Meeting,"Meetings of NATO Ministers of Defence NATO Headquarters , Brussels (Belgium)"
