Assets (billion $),Company,Headquarters,Industry,Market Value (billion $),Profits (billion $),Rank,Revenue (billion $)
"1,884.32",Citigroup,USA,Banking,247.42,21.54,1,146.56
"1,459.74",Bank of America,USA,Banking,226.61,21.13,2,116.57
"1,860.76",HSBC,UK,Banking,202.29,16.63,3,121.51
697.24,General Electric,USA,Conglomerate,358.98,20.83,4,163.39
"1,351.52",JPMorgan Chase & Co.,USA,Banking,170.97,14.44,5,99.30
979.41,American International Group,USA,Insurance,174.47,14.01,6,113.19
223.95,ExxonMobil,USA,Oil and gas,410.65,39.50,7,335.09
232.31,Royal Dutch Shell,Netherlands,Oil and gas,208.25,25.44,8,318.85
"1,776.89",UBS,Switzerland,Diversified Financials,116.84,9.78,9,105.59
"1,615.05",ING Group,Netherlands,Diversified Financials,93.99,9.65,10,153.44
217.60,BP,UK,Oil and gas,198.14,22.29,11,265.91
243.60,Toyota,Japan,Automotive,217.69,11.68,12,179.02
"1,705.35",Royal Bank of Scotland,UK,Banking,124.13,12.51,13,77.41
"1,898.19",BNP Paribas,France,Banking,97.03,9.64,14,89.16
"1,380.88",Allianz,Germany,Insurance,87.22,8.81,15,125.33
248.44,Berkshire Hathaway,USA,Diversified Financials,163.79,11.02,16,98.54
151.19,Wal-Mart,USA,Retailing,201.36,11.29,17,348.65
"1,949.17",Barclays,UK,Banking,94.79,8.95,18,67.71
132.63,Chevron,USA,Oil and gas,149.37,17.14,19,195.34
138.82,Total S.A.,France,Oil and gas,152.62,15.53,19,175.05
