Alter,Chemie,Frieden,Land,Literatur,Medizin,Name,Physik,Wirtsch.,geb.,gest.
90,,,Belgien,,1974**,George E. Palade,,,19.11.1912,
90,,1901**,Frankreich,,,Frederic Passy,,,20.05.1822,12.06.1912
70,,,Russland,1958,,Boris Pasternak,,,10.02.1890,30.05.1960
58,,,�sterreich,,,Wolfgang Pauli,1945,,25.04.1900,15.12.1958
93,,1962,Vereinigte Staaten,,,Linus Carl Pauling,,,28.02.1901,19.08.1994
86,,,Russland,,1904,Iwan Petrowitsc Pawlow,,,14.09.1849,27.02.1936
84,,,Mexiko,1990,,Octavio Paz,,,31.03.1914,19.04.1998
75,,1957,Kanada,,,Lester Bowles Pearson,,,23.04.1897,27.12.1972
85,1987***,,Vereinigte Staaten,,,Charles Pedersen,,,03.10.1904,26.10.1989
70,,,Vereinigte Staaten,,,Arno Penzias,1978***,,26.04.1933,
80,,1996***,Israel,,,Shimon Peres,,,15.08.1923,
71,,,Frankreich,,,Jean-Baptiste Perrin,1926,,30.09.1870,17.04.1942
88,,,Frankreich,1960,,Saint-John Perse,,,31.05.1887,20.09.1975
69,,,Italien,1934,,Luigi Pirandello,,,28.06.1867,10.12.1936
58,,1958,Belgien,,,Dominique Georg Pire,,,10.02.1910,30.01.1969
89,,,Deutschland,,,Max Planck,1918,,23.04.1858,04.10.1947
74,1986***,,Kanada,,,John Charles Polanyi,,,23.01.1929,
86,,,D�nemark,1917**,,Henrik Pontoppidan,,,24.07.1857,21.08.1943
78,1998**,,Vereinigte Staaten,,,John Pople,,,31.10.1925,
81,1967***,,Gro�-Brit.,,,George Porter,,,06.12.1920,31.08.2002
67,,,Gro�-Brit.,,1972**,Rodney R. Porter,,,08.10.1917,07.09.1985
65,,,Gro�-Brit.,,,Cecil Powell,1950,,05.12.1903,09.08.1969
61,1923,,�sterreich,,,Fritz Pregl,,,03.09.1869,13.12.1930
91,1975**,,Schweiz,,,Vladimir Prelog,,,23.07.1906,07.01.1998
86,1977,,Belgien,,,Ilya Prigogine,,,25.01.1917,28.05.2003
85,,,Sowjetunion,,,Michailowitsch Prochorow,1964***,,11.07.1916,08.01.2002
84,,,Vereinigte Staaten,,,Edward Mills Purcell,1952**,,30.08.1912,07.03.1997
