Artist,Genre,Name
PRINCE,POP,1999
"TUTONE, TOMMY",ROCK,867-5309 (JENNY)
NENA,POP,99 BALLOONS
"KEYS, ALICIA",POP,AIN'T GOT YOU
BILL WITHERS,OLDIES,AIN'T NO SUNSHINE
"TEMPTATIONS, THE",OLDIES,AIN'T TOO PROUD TO BEG
"STRAIGHT, GEORGE",COUNTRY,ALL MY EX'S LIVE IN TEXAS
KID ROCK,ROCK,ALL SUMMER LONG
BEYONCE,POP,ALL THE SINGLE LADIES
HEART,ROCK,ALONE
GREENDAY,ROCK,AMERICAN IDIOT
"MCLEAN, DON",CLASSIC ROCK,AMERICAN PIE
JOURNEY,ROCK,ANYWAY YOU WANT IT
"JAMES, ETTA",STANDARDS,AT LAST
FIVE FINGER DEATH PUNCH,ROCK,BAD COMPANY
"SUMMER, DONNA",DISCO,BAD GIRLS
HEART,CLASSIC ROCK,BARRACUDA
"UNDERWOOD, CARRIE",COUNTRY,BEFORE HE CHEATS
"JACKSON, MICHAEL",POP,BILLIE JEAN
"JACKSON, JANET",POP,BLACK CAT
LED ZEPPLIN,ROCK,BLACK DOG
KT TUNSTALL,POP,BLACK HORSE AND A CHERRY TREE
"MILES, ALANNAH",COUNTRY,BLACK VELVET
"LOVELESS, PATTY",COUNTRY,BLAME IT ON YOUR HEART
RASCAL FLATTS,COUNTRY,BLESS THE BROKEN ROAD
"VIOLENT FEMMES, THE",ROCK,BLISTER IN THE SUN
"RONSTANDT, LINDA",CLASSIC ROCK,BLUE BAYOU
A TASTE OF HONEY,DISCO,BOOGIE OOGIE OOGIE
BLACK EYED PEAS,POP,BOOM BOOM POW
LADY GAGA,POP,BORN THIS WAY
STEPPENWOLF,CLASSIC ROCK,BORN TO BE WILD
"PETTY, TOM",CLASSIC ROCK,BREAKDOWN
"COMMODORES, THE",POP,BRICKHOUSE
EVENESCENCE,ROCK,BRING ME TO LIFE
"MCBRIDE, MARTINA",COUNTRY,BROKEN WING
"ROLLING STONES, THE",CLASSIC ROCK,BROWN SUGAR
VAN MORRISON,CLASSIC ROCK,BROWNEYED GIRL
BLONDIE,ROCK,CALL ME
SEETHER,ROCK,CARELESS WHISPER
ROSE ROYCE,DISCO,CARWASH
KOOL AND THE GANG,DISCO,CELEBRATION
"J. GIELS BAND, THE",CLASSIC ROCK,CENTERFOLD
"FRANKLIN, ARETHA",OLDIES,CHAIN OF FOOLS
ZACH BROWN BAND,COUNTRY,CHICKEN FRIED
"DOOBIE BROTHERS, THE",CLASSIC ROCK,CHINA GROVE
NORAH JONES,POP,COME AWAY WITH ME
"BEATLES, THE",OLDIES,COME TOGETHER
"CLINE, PATSY",COUNTRY,CRAZY
"OZBORN, OZZIE",CLASSIC ROCK,CRAZY TRAIN
RADIOHEAD,ROCK,CREEP
MARTHA REEVES AND THE VANDELLAS,OLDIES,DANCIN IN THE STREETS
ABBA,DISCO,DANCING QUEEN
EAGLES,CLASSIC ROCK,DESPERADO
"REDDING, OTTIS",OLDIES,DOCK OF THE BAY
"JACKSON, ALAN",COUNTRY,DON'T ROCK THE JUKEBOX
JOURNEY,CLASSIC ROCK,DON'T STOP BELIEVIN'
"JACKSON, MICHAEL",POP,DON'T STOP TIL YOU GET ENOUGH
SIMPLE MINDS,POP,DON'T YOU FORGET ABOUT ME
DISTURBED,ROCK,DOWN WITH THE SICKNESS
FLEETWOOD MAC,CLASSIC ROCK,DREAMS
"COMMODORES, THE",POP,EASY
JOURNEY,CLASSIC ROCK,FAITHFULLY
"WILLIAMS JR, HANK",COUNTRY,FAMILY TRADITION
"LEE, PEGGY",STANDARDS,FEVER
"BEASTIE BOYS, THE",ROCK,FIGHT FOR YOUR RIGHT TO PARTY
NITTY GRITTY DIRT BAND,COUNTRY,FISHIN' IN THE DARK
"CASH, JOHNNY",COUNTRY,FOLSOM PRISON
STEVIE WONDER,DISCO,FOR ONCE IN MY LIFE
"PETTY, TOM",CLASSIC ROCK,FREE FALLIN
EN VOGUE,POP,FREE YOUR MIND
"BROOKS, GARTH",COUNTRY,FRIENDS IN LOW PLACES
"BEATLES, THE",OLDIES,GET BACK
KC AND THE SUNSHINE BAND,DISCO,GET DOWN TONIGHT
PINK,POP,GET THIS PARTY STARTED
"LAUPER, CYNDI",POP,GIRLS JUST WANNA HAVE FUN
"CHAPMAN, TRACY",POP,GIVE ME ONE REASON
SPENCER DAVIS GROUP,OLDIES,GIVE ME SOME LOVIN'
LYNARD SKYNARD,CLASSIC ROCK,GIVE ME THREE STEPS
CHIC,DISCO,GOOD TIMES
"LYNN, CHERYL",DISCO,GOT TO BE REAL
"BERRY, CHUCK",OLDIES,GREAT BALLS OF FIRE
"LAMBERT, MIRANDA",COUNTRY,GUNPOWDER AND LEAD
"BLACK CROWES, THE",ROCK,HARD TO HANDLE
MAROON 5,ROCK,HARDER TO BREATH
NIRVANNA,ROCK,HEART SHAPED BOX
"BENETAR, PAT",ROCK,HEARTBREAKER
MARTHA REEVES AND THE VANDELLAS,OLDIES,HEATWAVE
NO DOUBT,POP,HELLA GOOD
"WILSON, GRETCHEN",COUNTRY,HERE FOR THE PARTY
WHITESNAKE,CLASSIC ROCK,HERE I GO AGAIN
"BEATLES, THE",OLDIES,HEY JUDE
"BENETAR, PAT",ROCK,HIT ME WITH YOUR BEST SHOT
"ROLLING STONES, THE",CLASSIC ROCK,HONKY TONK WOMEN
"PERRY, KATY",POP,HOT AND COLD
FORIENGER,ROCK,HOT BLOODED
"SUMMER, DONNA",DISCO,HOTSTUFF
ELVIS,OLDIES,HOUND DOG
"TAYLOR, JAMES",CLASSIC ROCK,HOW SWEET IT IS
"MELLENCAMP, JOHN COUGAR",CLASSIC ROCK,HURTS SO GOOD
"BROWN, JAMES",OLDIES,I FEEL GOOD
BLACK EYED PEAS,POP,I GOTTA FEELING
"JETT, JOAN",ROCK,I HATE MYSELF FOR LOVIN' YOU
"KNIGHT, GLADYS",OLDIES,I HEARD IT THROUGH THE GRAPEVINE
"GAYE, MARVIN",OLDIES,I HEARD IT THROUGH THE GRAPEVINE
"WOMACK, LEE ANN",COUNTRY,I HOPE YOU DANCE
"PERRY, KATY",POP,I KISSED A GIRL
"MCGRAW, TIM",COUNTRY,I LIKE IT I LOVE IT
"JETT, JOAN",ROCK,I LOVE ROCK AND ROLL
"CASH, JOHNNY",COUNTRY,I WALK THE LINE
"JACKSON, MICHAEL",POP,I WANT YOU BACK
CHEAP TRICK,CLASSIC ROCK,I WANT YOU TO WANT ME
"HOUSTON, WHITNEY",POP,I WILL ALWAYS LOVE YOU
"GAYNOR, GLORIA",DISCO,I WILL SURVIVE
"WONDER, STEVIE",POP,I WISH
"STAPLE SISTERS, THE",DISCO,I'LL TAKE YOU THERE
MELLISSA ETHERIDGE,ROCK,I'M THE ONLY ONE
"MRAZ, JASON",ROCK,I'M YOURS
VANILLA ICE,RAP,"ICE, ICE BABY"
TONIC,ROCK,IF YOU COULD ONLY SEE
"MCBRIDE, MARTINA",COUNTRY,INDEPENDENCE DAY
"MORRISETTE, ALANIS",ROCK,IRONIC
