University Location,University Name,University Type
Abilene (TX),Abilene Christian University,Private
Garden City (NY),Adelphi University,Private
Albany (GA),Albany State University,Public
Alcorn State (MS),Alcorn State University,Public
Springfield (MA),American International College,Private
Anderson (IN),Anderson University,Private
Berrien Springs (MI),Andrews University,Private
San Angelo (TX),Angelo State University,Public
Tempe (AZ),Arizona State University,Public
State University (AR),Arkansas State University,Public
Savannah (GA),Armstrong Atlantic State University,Public
Ashland (OH),Ashland University,Private
Auburn (AL),Auburn University,Public
Montgomery (AL),Auburn University - Montgomery,Public
Augusta (GA),Augusta State University,Public
Sioux Falls (SD),Augustana College,Private
Aurora (IL),Aurora University,Private
Clarksville (TN),Austin Peay State University,Public
Azusa (CA),Azusa Pacific University,Private
Baldwin City (KS),Baker University,Private
Muncie (IN),Ball State University,Public
Miami Shores (FL),Barry University,Private
Wilson (NC),Barton College,Private
Waco (TX),Baylor University,Private
Louisville (KY),Bellarmine University,Private
Nashville (TN),Belmont University,Private
Saint Paul (MN),Bethel University,Private
Binghamton (NY),Binghamton University,Public
La Mirada (CA),Biola University,Private
Quincy (IL),Blessing-Rieman College of Nursing,Private
Bloomsburg (PA),Bloomsburg University,Public
Boise (ID),Boise State University,Public
Chestnut Hill (MA),Boston College,Private
Bowie (MD),Bowie State University,Public
Bowling Green (OH),Bowling Green State University,Public
Peoria (IL),Bradley University,Private
Gainesville (GA),Brenau University,Private
Provo (UT),Brigham Young University,Private
Rexburg (ID),Brigham Young University - Idaho,Private
Bakersfield (CA),California State University - Bakersfield,Public
Chico (CA),California State University - Chico,Public
Carson (CA),California State University - Dominguez Hills,Public
Fresno (CA),California State University - Fresno,Public
Fullerton (CA),California State University - Fullerton,Public
Long Beach (CA),California State University - Long Beach,Public
Los Angeles (CA),California State University - Los Angeles,Public
Sacramento (CA),California State University - Sacramento,Public
San Bernardino (CA),California State University - San Bernardino,Public
Turlock (CA),California State University - Stanislaus,Public
Grand Rapids (MI),Calvin College,Private
Columbus (OH),Capital University,Private
Milwaukee (WI),Cardinal Stritch University,Private
Pittsburgh (PA),Carlow College,Private
Helena (MT),Carroll College,Private
Cleveland (OH),Case Western Reserve University,Private
Castleton (VT),Castleton State College,Public
"Washington, D.C.","Catholic University of America, The",Private
Allentown (PA),Cedar Crest College,Private
Cedarville (OH),Cedarville University,Private
New Britain (CT),Central Connecticut State University,Public
Warrensburg (MO),Central Missouri State University,Public
Clarion (PA),Clarion University,Public
Dubuque (IA),Clarke College,Private
Omaha (NE),Clarkson College,Private
Clemson (SC),Clemson University,Public
Cleveland (OH),Cleveland State University,Public
Cincinnati (OH),College of Mount St. Joseph,Private
Ewing (NJ),"College of New Jersey, The",Public
New Rochelle (NY),"College of New Rochelle, The",Private
Saint Joseph (MN),College of Saint Benedict | Saint John's University,Private
Saint Paul (MN),College of St. Catherine,Private
Duluth (MN),"College of St. Scholastica, The",Private
Staten Island (NY),College of Staten Island,Public
Pueblo (CO),Colorado State University - Pueblo,Public
New York (NY),Columbia University,Private
Moorhead (MN),Concordia College,Private
Mequon (WI),Concordia University Wisconsin,Private
Baltimore (MD),Coppin State College,Public
Omaha (NE),Creighton University,Private
Dover (DE),Delaware State University,Public
Cleveland (MS),Delta State University,Public
Chicago (IL),Depaul University,Private
San Rafael (CA),Dominican University of California,Private
Philadelphia (PA),Drexel University,Private
Durham (NC),Duke University,Private
Pittsburgh (PA),Duquesne University,Private
Buffalo (NY),D'Youville College,Private
Greenville (NC),East Carolina University,Public
Johnson City (TN),East Tennessee State University,Public
Richmond (KY),Eastern Kentucky University,Public
Harrisonburg (VA),Eastern Mennonite University,Private
Ypsilanti (MI),Eastern Michigan University,Public
Cheney (WA),Eastern Washington University,Public
Madison (WI),Edgewood College,Private
Edinboro (PA),Edinboro University,Public
Chicopee (MA),Elms College,Private
Atlanta (GA),Emory University,Private
Albany (NY),Excelsior College,Private
Fairfield (CT),Fairfield University,Private
Teaneck (NJ),Fairleigh Dickinson University,Private
Fayetteville (NC),Fayetteville State University,Public
Lodi (NJ),Felician College,Private
Fitchburg (MA),Fitchburg State College,Public
Tallahassee (FL),Florida A&M University,Public
Boca Raton (FL),Florida Atlantic University,Public
Fort Myers (FL),Florida Gulf Coast University,Public
Miami (FL),Florida International University,Public
Tallahassee (FL),Florida State University,Public
Hays (KS),Fort Hays State University,Public
Boiling Springs (NC),Gardner-Webb University,Private
