,Date,Grid Reference,Height (ft),Height (m),Summit
,19/09/2008,SO079189,2146ft,654m,Allt Lwyd
,,SH682475,2290ft,698m,Allt-fawr
,,SH867243,2904ft,885m,Aran Benllyn
,,SH863224,2969ft,905m,Aran Fawddwy
,19/11/2006,SH820415,2260ft,689m,Arenig Fach
,,SH827369,2802ft,854m,Arenig Fawr
,,SH827360,2336ft,712m,Arenig Fawr South Ridge Top
,,SH827366,2743ft,836m,Arenig Fawr South Top
,,SO214636,2001ft,610m,Bache Hill
,30/05/2010,SH672678,2648ft,807m,Bera Bach
,30/05/2010,SH675683,2605ft,794m,Bera Mawr
,,SO196644,2133ft,650m,Black Mixen
,20/09/2008,SO255354,2306ft,703m,Black Mountain
,20/09/2008,SO266322,2090ft,637m,Black Mountain South Top
,19/09/2008,SO054203,2474ft,754m,Bwlch y Ddwyallt
,17/11/2006,SJ071323,2713ft,827m,Cadair Berwyn
,17/11/2006,SJ072327,2723ft,830m,Cadair Berwyn New Top
,,SJ077346,2575ft,785m,Cadair Bronwen
De-moted Sept 2007,,SJ087352,2297ft,700m,Cadair Bronwen East Top
,26/08/2007,SH711130,2930ft,893m,Cadair Idris
,31/05/2010,SH663631,3425ft,1044m,Carnedd Dafydd
,10/03/2006,SH858445,2110ft,643m,Carnedd Llechwedd-llyfn
,31/05/2010,SH684644,3491ft,1064m,Carnedd Llewelyn
,,SH708705,2257ft,688m,Carnedd y Ddelw
,10/03/2006,SH871446,2195ft,669m,Carnedd y Filiast (Arenigs)
,,SH620628,2694ft,821m,Carnedd y Filiast (Glyders)
Promoted Sept 2007,,SH617631,2365ft,721m,Carnedd y Filiast North Top
Promoted Sept 2007,,SH654581,3189ft,972m,Castell y Gwynt
,18/11/2006,SH976266,2018ft,615m,Cefn Gwyntog
,23/09/2008,SO087137,2024ft,617m,Cefn yr Ystrad
,20/09/2008,SO258294,2228ft,679m,Chwarel y Fan
,,SH645466,2260ft,689m,Cnicht
,,SH648468,2251ft,686m,Cnicht North Top
,19/09/2008,SO007213,2864ft,873m,Corn Du
,18/09/2008,SN961218,2064ft,629m,Craig Cerrig-gleisiad
,26/08/2007,SH711121,2595ft,791m,Craig Cwm Amarch
,,SH525503,2408ft,734m,Craig Cwm Silyn
,,SH713655,2411ft,735m,Craig Eigiau
,,SH730608,2044ft,623m,Craiglwyn
,,SH665119,2041ft,622m,Craig-y-llyn
,,SH660443,2260ft,689m,Craigysgafn
,,SH729615,2224ft,678m,Creigiau Gleision
,,SH734622,2080ft,634m,Creigiau Gleision North Top
,,SH624552,3028ft,923m,Crib Goch
,25/06/2006,SH611552,3494ft,1065m,Crib y Ddysgl
,,SH795153,2162ft,659m,Cribin Fawr
,19/09/2008,SO024213,2608ft,795m,Cribyn
,03/05/2008,SH663249,2198ft,670m,Crib-y-rhiw
,26/08/2007,SH704133,2661ft,811m,Cyfrwy
,18/11/2006,SH988279,2188ft,667m,Cyrniau Nod
,02/05/2008,SH811274,2172ft,662m,Dduallt
,03/05/2008,SH661234,2461ft,750m,Diffwys
,03/05/2008,SH648229,2106ft,642m,Diffwys West Top
