AGE (years),CREATION,CREATOR
15,Invented a system of printing and writing for the blind,Louis Braille
16,Formulated Pascal?s Theorem,Blaise Pascal
17,Discovered the laws of pendulum motion at the age of Law of falling bodies,Galileo Galilei
19,Patented his first polarizing light filter,Edwin Land
19 22,First patent for a rotary steam engine Invented airbrakes,George Westinghouse
21,Invented a system of radio telegraphy,Guglielmo Marconi
21,Discovered bacterial conjugation,Joshua Lederberg
22,Invented automated relaying communications device,Thomas Edison
22,Proved the theorem of complex coefficients,Carl Gauss
22,Published his theory of non-cooperative games,John Nash
22,Predicted the Josephson effect,Brian Josephson
22,Developed the electron microscope,James Hillier
23,"Calculus, principles of optics, elements of circular motion inverse square law of gravity",Isaac Newton
23,Invented a low frequency receiver for radio waves,Louis Parker
24,Published his first mathematical papers,Srinivasa Ramanujan
24,Published is first statistical mechanics papers,Satyendra Bose
24,Quantum mechanics for motion of atomic particles,Paul Dirac
24,Published his theory of electromagnetic waves,Richard Feynman
24,Drew his first animated cartoon,Walt Disney
24 25,Crystallographic studies of glaciers Applied Xray crystallography to study hemoglobin,Max Perutz
25,Published first paper on electromagnetic lines of force,James Clerk Maxwell
25,Postulated his statistical laws,Enrico Fermi
25,"Discovered the alpha, beta and gamma radiation",Earnest Rutherford
25,Made commercial dry photographic plates,George Eastman
25,Co-published his paper on DNA,James Watson
26,Discovered tartarate isomers,Louis Pasteur
26,Created automorphic functions,Henri Poincare
26,Published 3 ground-breaking articles (including relativity),Albert Einstein
26,Proposed his model of the Bohr atom,Niels Bohr
26,Derived his uncertainty principle,Werner Heisenberg
27,Constructed his first induction motor,Nicola Tesla
27,Laid down Pauling?s Rules,Linus Pauling
29,Discovered the decay modes of kaon,Lee Tsung-Dao
