Altitude in Meter,Himal,Name of the Peaks,S. No.,Zone
6812,Khumbu,Ama Dablam,01,Sagrmatha
8091,Annapurna,Annapurna I,02,Gandaki
7937,Anapurrna,Annapurna II,03,Gandaki
7555,Anapurrna,Annapurna III,04,Gandaki
7525,Anapurrna,Annapurna IV,05,Gandaki
7219,Anapurrna,Annapurna,06,Gandaki South
7132,Gurans,Api,07,Mahakali
7100,Byas-Rikhi,Api West,08,Darchula
7129,Barun,Barun Tse,09,Koshi
6672,Mansiri,Baudha,10,Gandaki
7319,Mahalangur,Chamlang,11,Sagarmatha Barun
6820,Peri,Cheo Himal,12,Gandaki
6685,Rolwaling,Chobuje,13,Janakpur
6440*,Khumbu,Cholatse,14,Sagarmatha
8201,Khumbu,Cho-oyu,15,Sagarmatha
6711,Mahalangur,Cho polu,16,Sagarmatha
7371,Dhaulagiri,Churen,17,Dhaulagiri
5550*,Khumbu,Chhukungri,18,Sagarmatha
6855,Kanchenjunga,Drahmo,19,Mechi
6012*,Mukut,Dhampus,20,Dhaulagiri
8167,Dhaulagiri,Dhaulagiri I,21,Dhaulagiri
7751,Dhaulagiri,Dhaulagiri II,22,Dhaulagiri
7715,Dhaulagiri,Dhaulagiri III,23,Dhaulagiri
7661,Dhaulagiri,Dhaulagiri IV,24,Dhaulagiri
7618,Dhaulagiri,Dhaulagiri V,25,Dhaulagiri
7668,Dhaulagiri,Dhaulagiri VI,26,Dhaulagiri
6801,Rolwaling,Drangnag Ri,27,Japakpur
6697,Saipal,Fimkof,28,Bajhang Humla
6645,Saipal,Fimkof West,29,Bajhang
7111,Ganesh,Ganesh II,30,Bagmati
7110,Ganesh,Ganesh III,31,Bagmati (Salasungo)
7052,Ganesh,Ganesh IV,32,Bagmati Pabil
6986,Ganesh,Ganesh V,33,Bagmati
7455,Annapurna,Gangapurna,34,Gandaki
7134,Rolwaling,Gauri Shanker,35,Janakpur
7350,Kanchenjunga,Gimigela Chuli,36,Mechi
7038,Nemjung/Peri Himlal,Gyajikang,37,Gandaki
5450*,Khumbu,Gokyori,38,Sagarmatha
7893,Mansiri,Himalchuli E,39,Gandaki
7371,Mansiri,Himalchuli N,40,Gandaki
7540,Mansiri,Himachuli West,41,Gandaki
7126,Peri,Himlung Himal,42,Gandaki
6556,Mukut,Hongde,43,Karnali
5764,Jagdula,Jagdula Peak,44,Karnali
7710,Kanchenjunga,Kumbhakarna (Jannu),45,Mechi
7903,Kanchenjunga,Kangbachen,46,Mechi
5960*,Kanjiroba,Kagmara,47,Karnali
6627,Patrasi,Kande Hiuchuli,48,Karnali
8586,Kanchenjunga,Kanchenjunga (Main),49,Mechi
8476,Kanchenjunga,Kanchenjunga,50,Mechi
8476,Kanchenjunga,Kanchenjunga (South),51,Mechi
6981,Peri,Kang guru,52,Gandaki
6779,Khumbu,Kangtega (Kantega),53,Sagarmatha
6612,Kanjiroba,Kanjeralwa,54,Karnali
6883,Kanjiroba,Kanijiroba (Main Peak),55,Karnali
6782,Rolwaling,Khatang,56,Janakpur
6294*,Kanjiroba,Kangtokla,57,Karnali
6983,Annapurna,Lamjung Himal,58,Gandaki
6427*,Jugal,Langsisa Ri,59,Bagmati
7234,Langtang,Langtang Lirung,60,Bagmati
8516,Khumbu,Lhotse,61,Sagarmatha
8400,Khumbu,Lhotse Shar,62,Sagarmatha
6145*,Khumbu,Lobuje West,63,Sagarmatha
6954,Kanchenjunga,Lemgpa Peak,64,Mechi
8463,Mahalangur,Makalu I,65,Koshi
7678,Mahalangur,Makalu II (Kangchugtse),66,Koshi
6380*,Dhaulagiri,Manapathi,67,Dhaulagiri
8163,Mansiri,Manaslu,68,Gandaki
7157,Mansiri,Manaslu North,69,Gandaki
6755,Gurans,Nampa,70,Mahakali
7743,Khumbu,Ngojumbakang,71,Sagarmatha
6940,Nilgiri,Nilgiri Central,72,Dhaulagiri
7061,Nilgiri,Nilgiri North,73,Dhaulagiri
6839,Nilgiri,Nilgiri South,74,Dhaulagiri
6957,Rolwaling,Numbur,75,Sagarmatha
7855,Khumbu,Nuptse,76,Sagarmatha
7871,Mansiri,Ngadi Chuli (Peak 29 Dakura),77,Gandaki
6580,Byas-Rikhi,Nampa South,78,Darchula Bajhang
6450*,Patrasi,Patrasi,79,Karnali
7161,Khumbu,Pumori,80,Sagarmatha
7246,Dhaulagiri,Putha Hiunchuli,81,Dhaulagiri
7125,Kanchenjunga,Pathivara Chuli,82,Mechi
7351,Mahalangur Khumbu,Pasang Lhamu Chuli (Jasamba),83,Sagarmatha
6593,Urai Lekh,Raksha Urai,84,Bajhang
4499*,Lamjung,Ramdrong,85,Gandaki
4499*,Kanchenjunga,Ramchaur,86,Mechi
6601,Kanchenjunga,Ramtang,87,Mechi
7031,Gurans/Saipal,Saipal,88,Mahakali
7591,Mahalangur Khumbu,Shantishikhar,89,Sagarmatha
7459,Khumbu,Shartse,90,Sagarmatha
5849*,Sisne,Sisne,91,Karnali
6611,Dhaulagiri,Sita Chuchura,92,Dhaulagiri
6882,Saipal,"Saipal, East",93,Bajhang
6523,Surma Sarovar Lekh,Surma-Sarivar North,94,Bajhang
8848,Khumbu,Sagarmatha,95,Sagarmatha
6139*,Kanjiroba,Shey Shikar,96,Karnali
6501,Khumbu,Tawoche,97,Sagarmatha
6230*,Khumbu,Thamserku,98,Sagarmatha
7134,Annapurna,Tilicho Peak,99,Gandaki
6920,Dhaulagiri,Tukuche Peak,100,Dhaulagiri
6563,Kanjiroba,Tripura Hiunchuli (Hanging Glacier Peak),101,Karnali
6518,Kanjiroba,Tso Jarpo,102,Dolpa
7193,Annapurna,Tarke Kang,103,Gandaki
6215*,Kanchenjunga,Tengkoma,104,Mechi
7647,Annapurna,Varaha Shikar(Fang),105,Dhaulagiri
8505,Kanchenjunga,Yalung Kang,106,Mechi
5732*,Langtang,Yala,107,Bagmati
